"","YEAR","GEAR","LENGTH","FREQ","BootESS","df","NSAMP","NHAUL","NSTRATA"
"1",1993,"HAL",1,0,NA,NA,16828,340,2
"2",1993,"HAL",2,0,NA,NA,16828,340,2
"3",1993,"HAL",3,0,NA,NA,16828,340,2
"4",1993,"HAL",4,0,NA,NA,16828,340,2
"5",1993,"HAL",5,0,NA,NA,16828,340,2
"6",1993,"HAL",6,0,NA,NA,16828,340,2
"7",1993,"HAL",7,0,NA,NA,16828,340,2
"8",1993,"HAL",8,0,NA,NA,16828,340,2
"9",1993,"HAL",9,0,NA,NA,16828,340,2
"10",1993,"HAL",10,0,NA,NA,16828,340,2
"11",1993,"HAL",11,0,NA,NA,16828,340,2
"12",1993,"HAL",12,0,NA,NA,16828,340,2
"13",1993,"HAL",13,0,NA,NA,16828,340,2
"14",1993,"HAL",14,0,NA,NA,16828,340,2
"15",1993,"HAL",15,0,NA,NA,16828,340,2
"16",1993,"HAL",16,0,NA,NA,16828,340,2
"17",1993,"HAL",17,0,NA,NA,16828,340,2
"18",1993,"HAL",18,0,NA,NA,16828,340,2
"19",1993,"HAL",19,0,NA,NA,16828,340,2
"20",1993,"HAL",20,0,NA,NA,16828,340,2
"21",1993,"HAL",21,0,NA,NA,16828,340,2
"22",1993,"HAL",22,0,NA,NA,16828,340,2
"23",1993,"HAL",23,0,NA,NA,16828,340,2
"24",1993,"HAL",24,0,NA,NA,16828,340,2
"25",1993,"HAL",25,0,NA,NA,16828,340,2
"26",1993,"HAL",26,0,NA,NA,16828,340,2
"27",1993,"HAL",27,0,NA,NA,16828,340,2
"28",1993,"HAL",28,1.62205974604804e-05,NA,NA,16828,340,2
"29",1993,"HAL",29,0,NA,NA,16828,340,2
"30",1993,"HAL",30,4.00483283447531e-05,NA,NA,16828,340,2
"31",1993,"HAL",31,2.17248394726813e-05,NA,NA,16828,340,2
"32",1993,"HAL",32,0,NA,NA,16828,340,2
"33",1993,"HAL",33,1.62205974604804e-05,NA,NA,16828,340,2
"34",1993,"HAL",34,0.00011056459890238,NA,NA,16828,340,2
"35",1993,"HAL",35,4.80259412055452e-07,NA,NA,16828,340,2
"36",1993,"HAL",36,1.25928364472775e-06,NA,NA,16828,340,2
"37",1993,"HAL",37,0.000137300560704817,NA,NA,16828,340,2
"38",1993,"HAL",38,0.000340835931344002,NA,NA,16828,340,2
"39",1993,"HAL",39,0.000146746684665554,NA,NA,16828,340,2
"40",1993,"HAL",40,0.000154315908300137,NA,NA,16828,340,2
"41",1993,"HAL",41,0.000509716524950985,NA,NA,16828,340,2
"42",1993,"HAL",42,0.00062654349856832,NA,NA,16828,340,2
"43",1993,"HAL",43,0.00166873177993363,NA,NA,16828,340,2
"44",1993,"HAL",44,0.00208238973284922,NA,NA,16828,340,2
"45",1993,"HAL",45,0.00272379441453044,NA,NA,16828,340,2
"46",1993,"HAL",46,0.0045499918735125,NA,NA,16828,340,2
"47",1993,"HAL",47,0.00460205177077949,NA,NA,16828,340,2
"48",1993,"HAL",48,0.00632077349976033,NA,NA,16828,340,2
"49",1993,"HAL",49,0.0093953138958282,NA,NA,16828,340,2
"50",1993,"HAL",50,0.0111637924364248,NA,NA,16828,340,2
"51",1993,"HAL",51,0.0171929139530261,NA,NA,16828,340,2
"52",1993,"HAL",52,0.0205387683977723,NA,NA,16828,340,2
"53",1993,"HAL",53,0.0215005890420059,NA,NA,16828,340,2
"54",1993,"HAL",54,0.0259928310163929,NA,NA,16828,340,2
"55",1993,"HAL",55,0.0249517746180133,NA,NA,16828,340,2
"56",1993,"HAL",56,0.0255532501509271,NA,NA,16828,340,2
"57",1993,"HAL",57,0.0262592265733193,NA,NA,16828,340,2
"58",1993,"HAL",58,0.0229574240625611,NA,NA,16828,340,2
"59",1993,"HAL",59,0.0209543461736178,NA,NA,16828,340,2
"60",1993,"HAL",60,0.0192387862361239,NA,NA,16828,340,2
"61",1993,"HAL",61,0.0167472616679207,NA,NA,16828,340,2
"62",1993,"HAL",62,0.0148519013332003,NA,NA,16828,340,2
"63",1993,"HAL",63,0.0114992513829548,NA,NA,16828,340,2
"64",1993,"HAL",64,0.0152265546371103,NA,NA,16828,340,2
"65",1993,"HAL",65,0.012912559494445,NA,NA,16828,340,2
"66",1993,"HAL",66,0.0157656993680212,NA,NA,16828,340,2
"67",1993,"HAL",67,0.0160795454354865,NA,NA,16828,340,2
"68",1993,"HAL",68,0.0135430952198686,NA,NA,16828,340,2
"69",1993,"HAL",69,0.0162316393137663,NA,NA,16828,340,2
"70",1993,"HAL",70,0.020148348115651,NA,NA,16828,340,2
"71",1993,"HAL",71,0.0191924090964191,NA,NA,16828,340,2
"72",1993,"HAL",72,0.0190364534674134,NA,NA,16828,340,2
"73",1993,"HAL",73,0.0196647623908054,NA,NA,16828,340,2
"74",1993,"HAL",74,0.0243611234155424,NA,NA,16828,340,2
"75",1993,"HAL",75,0.0227978996946752,NA,NA,16828,340,2
"76",1993,"HAL",76,0.0229460524503386,NA,NA,16828,340,2
"77",1993,"HAL",77,0.0247375930489424,NA,NA,16828,340,2
"78",1993,"HAL",78,0.0262199080161024,NA,NA,16828,340,2
"79",1993,"HAL",79,0.0267691891643393,NA,NA,16828,340,2
"80",1993,"HAL",80,0.0259883116802033,NA,NA,16828,340,2
"81",1993,"HAL",81,0.0266696737708637,NA,NA,16828,340,2
"82",1993,"HAL",82,0.0293238336641761,NA,NA,16828,340,2
"83",1993,"HAL",83,0.0270596252170329,NA,NA,16828,340,2
"84",1993,"HAL",84,0.0290087390314807,NA,NA,16828,340,2
"85",1993,"HAL",85,0.0256240974628958,NA,NA,16828,340,2
"86",1993,"HAL",86,0.0272410977123383,NA,NA,16828,340,2
"87",1993,"HAL",87,0.0198886197479391,NA,NA,16828,340,2
"88",1993,"HAL",88,0.0215782248676733,NA,NA,16828,340,2
"89",1993,"HAL",89,0.0183202722854887,NA,NA,16828,340,2
"90",1993,"HAL",90,0.0158780893521529,NA,NA,16828,340,2
"91",1993,"HAL",91,0.0143737523725334,NA,NA,16828,340,2
"92",1993,"HAL",92,0.0138372895420392,NA,NA,16828,340,2
"93",1993,"HAL",93,0.0113418010686911,NA,NA,16828,340,2
"94",1993,"HAL",94,0.00878075165810057,NA,NA,16828,340,2
"95",1993,"HAL",95,0.00952262242723222,NA,NA,16828,340,2
"96",1993,"HAL",96,0.00716442327047183,NA,NA,16828,340,2
"97",1993,"HAL",97,0.0067578069765593,NA,NA,16828,340,2
"98",1993,"HAL",98,0.00550843474634744,NA,NA,16828,340,2
"99",1993,"HAL",99,0.00574323274855975,NA,NA,16828,340,2
"100",1993,"HAL",100,0.00483991750843814,NA,NA,16828,340,2
"101",1993,"HAL",101,0.00373845891226377,NA,NA,16828,340,2
"102",1993,"HAL",102,0.00321471346942335,NA,NA,16828,340,2
"103",1993,"HAL",103,0.00293366520754178,NA,NA,16828,340,2
"104",1993,"HAL",104,0.00162334311449937,NA,NA,16828,340,2
"105",1993,"HAL",105,0.00124988885649222,NA,NA,16828,340,2
"106",1993,"HAL",106,0.00137732754821832,NA,NA,16828,340,2
"107",1993,"HAL",107,0.000776580251670431,NA,NA,16828,340,2
"108",1993,"HAL",108,0.000646562338963809,NA,NA,16828,340,2
"109",1993,"HAL",109,0.00043057921277529,NA,NA,16828,340,2
"110",1993,"HAL",110,0.000210046374183426,NA,NA,16828,340,2
"111",1993,"HAL",111,0.00045049157288553,NA,NA,16828,340,2
"112",1993,"HAL",112,9.63698502358478e-05,NA,NA,16828,340,2
"113",1993,"HAL",113,8.93295644535263e-05,NA,NA,16828,340,2
"114",1993,"HAL",114,0.000112766698200536,NA,NA,16828,340,2
"115",1993,"HAL",115,0,NA,NA,16828,340,2
"116",1993,"HAL",116,9.92859633629385e-05,NA,NA,16828,340,2
"117",1993,"HAL",117,0,NA,NA,16828,340,2
"118",1993,"HAL",118,0,NA,NA,16828,340,2
"119",1993,"HAL",119,0,NA,NA,16828,340,2
"120",1993,"HAL",120,0,NA,NA,16828,340,2
"121",1993,"HAL",121,0,NA,NA,16828,340,2
"122",1993,"HAL",122,0,NA,NA,16828,340,2
"123",1993,"HAL",123,0,NA,NA,16828,340,2
"124",1993,"HAL",124,0,NA,NA,16828,340,2
"125",1993,"HAL",125,0,NA,NA,16828,340,2
"126",1993,"HAL",126,0,NA,NA,16828,340,2
"127",1993,"HAL",127,0,NA,NA,16828,340,2
"128",1993,"HAL",128,0,NA,NA,16828,340,2
"129",1993,"HAL",129,0,NA,NA,16828,340,2
"130",1993,"HAL",130,0,NA,NA,16828,340,2
"131",1993,"HAL",131,0,NA,NA,16828,340,2
"132",1993,"HAL",132,0,NA,NA,16828,340,2
"133",1993,"HAL",133,0,NA,NA,16828,340,2
"134",1993,"HAL",134,0,NA,NA,16828,340,2
"135",1993,"HAL",135,0,NA,NA,16828,340,2
"136",1993,"HAL",136,0,NA,NA,16828,340,2
"137",1993,"HAL",137,0,NA,NA,16828,340,2
"138",1993,"HAL",138,0,NA,NA,16828,340,2
"139",1993,"HAL",139,0,NA,NA,16828,340,2
"140",1993,"HAL",140,0,NA,NA,16828,340,2
"141",1993,"HAL",141,0,NA,NA,16828,340,2
"142",1993,"HAL",142,0,NA,NA,16828,340,2
"143",1993,"HAL",143,0,NA,NA,16828,340,2
"144",1993,"POT",1,0,NA,NA,171,11,1
"145",1993,"POT",2,0,NA,NA,171,11,1
"146",1993,"POT",3,0,NA,NA,171,11,1
"147",1993,"POT",4,0,NA,NA,171,11,1
"148",1993,"POT",5,0,NA,NA,171,11,1
"149",1993,"POT",6,0,NA,NA,171,11,1
"150",1993,"POT",7,0,NA,NA,171,11,1
"151",1993,"POT",8,0,NA,NA,171,11,1
"152",1993,"POT",9,0,NA,NA,171,11,1
"153",1993,"POT",10,0,NA,NA,171,11,1
"154",1993,"POT",11,0,NA,NA,171,11,1
"155",1993,"POT",12,0,NA,NA,171,11,1
"156",1993,"POT",13,0,NA,NA,171,11,1
"157",1993,"POT",14,0,NA,NA,171,11,1
"158",1993,"POT",15,0,NA,NA,171,11,1
"159",1993,"POT",16,0,NA,NA,171,11,1
"160",1993,"POT",17,0,NA,NA,171,11,1
"161",1993,"POT",18,0,NA,NA,171,11,1
"162",1993,"POT",19,0,NA,NA,171,11,1
"163",1993,"POT",20,0,NA,NA,171,11,1
"164",1993,"POT",21,0,NA,NA,171,11,1
"165",1993,"POT",22,0,NA,NA,171,11,1
"166",1993,"POT",23,0,NA,NA,171,11,1
"167",1993,"POT",24,0,NA,NA,171,11,1
"168",1993,"POT",25,0,NA,NA,171,11,1
"169",1993,"POT",26,0,NA,NA,171,11,1
"170",1993,"POT",27,0,NA,NA,171,11,1
"171",1993,"POT",28,0,NA,NA,171,11,1
"172",1993,"POT",29,0,NA,NA,171,11,1
"173",1993,"POT",30,0,NA,NA,171,11,1
"174",1993,"POT",31,0,NA,NA,171,11,1
"175",1993,"POT",32,0,NA,NA,171,11,1
"176",1993,"POT",33,0,NA,NA,171,11,1
"177",1993,"POT",34,0,NA,NA,171,11,1
"178",1993,"POT",35,0,NA,NA,171,11,1
"179",1993,"POT",36,0,NA,NA,171,11,1
"180",1993,"POT",37,0,NA,NA,171,11,1
"181",1993,"POT",38,0,NA,NA,171,11,1
"182",1993,"POT",39,0,NA,NA,171,11,1
"183",1993,"POT",40,0,NA,NA,171,11,1
"184",1993,"POT",41,0,NA,NA,171,11,1
"185",1993,"POT",42,0,NA,NA,171,11,1
"186",1993,"POT",43,0,NA,NA,171,11,1
"187",1993,"POT",44,0,NA,NA,171,11,1
"188",1993,"POT",45,0,NA,NA,171,11,1
"189",1993,"POT",46,0,NA,NA,171,11,1
"190",1993,"POT",47,0,NA,NA,171,11,1
"191",1993,"POT",48,0,NA,NA,171,11,1
"192",1993,"POT",49,0,NA,NA,171,11,1
"193",1993,"POT",50,0,NA,NA,171,11,1
"194",1993,"POT",51,0,NA,NA,171,11,1
"195",1993,"POT",52,0,NA,NA,171,11,1
"196",1993,"POT",53,0,NA,NA,171,11,1
"197",1993,"POT",54,0,NA,NA,171,11,1
"198",1993,"POT",55,0,NA,NA,171,11,1
"199",1993,"POT",56,0,NA,NA,171,11,1
"200",1993,"POT",57,0,NA,NA,171,11,1
"201",1993,"POT",58,0,NA,NA,171,11,1
"202",1993,"POT",59,0,NA,NA,171,11,1
"203",1993,"POT",60,0,NA,NA,171,11,1
"204",1993,"POT",61,0,NA,NA,171,11,1
"205",1993,"POT",62,0,NA,NA,171,11,1
"206",1993,"POT",63,0,NA,NA,171,11,1
"207",1993,"POT",64,0,NA,NA,171,11,1
"208",1993,"POT",65,0,NA,NA,171,11,1
"209",1993,"POT",66,0,NA,NA,171,11,1
"210",1993,"POT",67,0,NA,NA,171,11,1
"211",1993,"POT",68,0,NA,NA,171,11,1
"212",1993,"POT",69,0,NA,NA,171,11,1
"213",1993,"POT",70,0,NA,NA,171,11,1
"214",1993,"POT",71,0,NA,NA,171,11,1
"215",1993,"POT",72,0,NA,NA,171,11,1
"216",1993,"POT",73,0,NA,NA,171,11,1
"217",1993,"POT",74,0,NA,NA,171,11,1
"218",1993,"POT",75,0,NA,NA,171,11,1
"219",1993,"POT",76,0,NA,NA,171,11,1
"220",1993,"POT",77,0,NA,NA,171,11,1
"221",1993,"POT",78,0,NA,NA,171,11,1
"222",1993,"POT",79,0,NA,NA,171,11,1
"223",1993,"POT",80,0,NA,NA,171,11,1
"224",1993,"POT",81,0,NA,NA,171,11,1
"225",1993,"POT",82,0,NA,NA,171,11,1
"226",1993,"POT",83,0,NA,NA,171,11,1
"227",1993,"POT",84,0,NA,NA,171,11,1
