"","YEAR","Seas","FltSvy","Gender","Part","Ageerr","Lgin_lo","Lgin_hi","Nsamp","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"1",2020,1,-2,0,0,1,-1,-1,69,0.00524246395806029,0.018348623853211,0.187418086500655,0.380078636959371,0.204019222367846,0.122761031017912,0.0432503276539974,0.0380078636959371,0.000873743993010048,0
"2",2021,1,-2,0,0,1,-1,-1,62,0.00633484162895928,0.00995475113122172,0.146606334841629,0.224434389140272,0.286877828054299,0.121266968325792,0.104977375565611,0.053393665158371,0.0461538461538462,0
"3",2020,1,-3,0,0,1,-1,-1,16,0.029925187032419,0,0.0486284289276808,0.219451371571072,0.197007481296758,0.325436408977556,0.0985037406483791,0.0810473815461347,0,0
"4",2021,1,-3,0,0,1,-1,-1,12,0.0776699029126214,0,0.466019417475728,0.233009708737864,0.12621359223301,0.0970873786407767,0,0,0,0
"5",2020,1,-1,0,0,1,-1,-1,2,0.412060301507538,0,0,0,0.35678391959799,0.105527638190955,0,0.125628140703518,0,0
"6",1980,7,-4,0,0,1,-1,-1,100,461154.733333333,24939181.332038,13914560.2235175,5408295.99365079,3175481.81746032,933483.9,0,0,0,0
"7",1991,7,-4,0,0,1,-1,-1,100,1222255.16666667,23205015.4813076,8558282.84717271,13418539.9474975,11267133.8455229,4145305.28326118,2032557.24761905,1503397.88095238,437902.133333333,639192.166666667
"8",1994,7,-4,0,0,1,-1,-1,100,15819849,3536757.13531746,7187868.35122655,6619107.76471862,11257714.7999279,6421864.57305195,4847205.71843434,2675916.76868687,704804.613636364,360251.275
"9",1997,7,-4,0,0,1,-1,-1,100,3194446,3967515.75277778,3577621.75238095,7329364.97976191,5524552.49960317,2384486.74166667,1160809.6952381,739295.723809524,322438.461904762,319300.392857143
"10",2000,7,-4,0,0,1,-1,-1,100,1333111,1907953.9,8504228.42659,15616239.35079,12211270.55397,3788308.42421,2217832.55556,690810.85556,229406.93333,66890
"11",2002,7,-4,0,0,1,-1,-1,100,1035399.25,6630881.13189,8152654.81553,5400536.37907,3330295.56122,3078506.13253,1736686.9131,544064.44167,247276.25,202414.125
"12",2004,7,-4,0,0,1,-1,-1,100,257541.5,1449938.6,3693291.76548,8103543.2877,8954202.63254,4232370.7131,1220575.67262,743699.52857,240937.08333,110395.21667
"13",2006,7,-4,0,0,1,-1,-1,100,2993022,715634.57381,4525756.22612,4180256.9276,4760974.49946,4083367.93968,1978442.80833,540692.45,263391.5,238018.075
"14",2010,7,-4,0,0,1,-1,-1,100,167538,1553184.17857,5022485.5254,7920617.14206,6361400.56468,1434950.87024,557277.71905,173341.75,286552.75,98702.5
"15",2012,7,-4,0,0,1,-1,-1,100,1575055,1951049.43333,1970237.13651,5497122.9869,6194238.65992,3375297.77619,899409.50714,263047,46617,84540.5
"16",2014,7,-4,0,0,1,-1,-1,100,1112689,4888210.23333,4257928.95238,5646741.0619,5109560.80833,3955172.37738,1581371.96667,466382.3,160406.1,57234.2
"17",2016,7,-4,0,0,1,-1,-1,100,2049735,5509392.77792,9459042.05083,10726385.0022,6189149.58571,2151295.58333,1506246.33333,437617.16667,87181.5,26450
"18",2018,7,-4,0,0,1,-1,-1,100,943695,3443007.53333,4212658.07289,11279842.69801,8888331.97226,2430990.72351,510096,10258,79237,0
"19",2002,1,-1,0,0,1,100,100,0.14,0,0,0,0,0,0,0,0,0,1
"20",2002,1,-1,0,0,1,85,85,0.28,0,0,0,0,0,0.5,0,0.5,0,0
"21",2003,1,-1,0,0,1,58,58,0.14,0,0,0,0,1,0,0,0,0,0
"22",2003,1,-1,0,0,1,64,64,0.14,0,0,0,0,1,0,0,0,0,0
"23",2003,1,-1,0,0,1,73,73,0.14,0,0,0,0,0,0,1,0,0,0
"24",2003,1,-1,0,0,1,76,76,0.14,0,0,0,0,0,0,1,0,0,0
"25",2003,1,-1,0,0,1,82,82,0.14,0,0,0,0,0,0,0,1,0,0
"26",2003,1,-1,0,0,1,97,97,0.14,0,0,0,0,0,0,0,0,1,0
"27",2020,1,1,0,0,1,103,103,0.14,0,0,0,0,0,0,0,1,0,0
"28",2020,1,1,0,0,1,64,64,0.42,0,0,0,0,1,0,0,0,0,0
"29",2020,1,1,0,0,1,67,67,0.14,0,0,0,0,0,1,0,0,0,0
"30",2020,1,1,0,0,1,91,91,0.14,0,0,0,0,0,0,0,1,0,0
"31",2000,1,-2,0,0,1,103,103,0.14,0,0,0,0,0,0,0,0,1,0
"32",2000,1,-2,0,0,1,43,43,0.14,0,0,1,0,0,0,0,0,0,0
"33",2000,1,-2,0,0,1,61,61,0.14,0,0,0,0,0,1,0,0,0,0
"34",2000,1,-2,0,0,1,67,67,0.14,0,0,0,0,0,1,0,0,0,0
"35",2000,1,-2,0,0,1,73,73,0.14,0,0,0,0,0,1,0,0,0,0
"36",2000,1,-2,0,0,1,79,79,0.28,0,0,0,0,0,0.5,0,0.5,0,0
"37",2000,1,-2,0,0,1,82,82,0.14,0,0,0,0,0,0,1,0,0,0
"38",2000,1,-2,0,0,1,94,94,0.28,0,0,0,0,0,0,0,1,0,0
"39",2000,1,-2,0,0,1,97,97,0.28,0,0,0,0,0,0,0,0.5,0,0.5
"40",2001,1,-2,0,0,1,103,103,0.14,0,0,0,0,0,0,0,0,0,1
"41",2001,1,-2,0,0,1,106,106,0.14,0,0,0,0,0,0,0,1,0,0
"42",2001,1,-2,0,0,1,109,109,0.14,0,0,0,0,0,0,0,0,0,1
"43",2001,1,-2,0,0,1,37,37,0.14,0,0,1,0,0,0,0,0,0,0
"44",2001,1,-2,0,0,1,49,49,0.14,0,0,0,1,0,0,0,0,0,0
"45",2001,1,-2,0,0,1,52,52,0.28,0,0,0,1,0,0,0,0,0,0
"46",2001,1,-2,0,0,1,58,58,0.28,0,0,0,0.5,0.5,0,0,0,0,0
"47",2001,1,-2,0,0,1,61,61,0.56,0,0,0,0,0.75,0.25,0,0,0,0
"48",2001,1,-2,0,0,1,64,64,0.98,0,0,0,0,0.571428571428571,0.428571428571429,0,0,0,0
"49",2001,1,-2,0,0,1,67,67,0.98,0,0,0,0,0.285714285714286,0.714285714285714,0,0,0,0
"50",2001,1,-2,0,0,1,70,70,0.98,0,0,0,0,0.285714285714286,0.571428571428571,0.142857142857143,0,0,0
"51",2001,1,-2,0,0,1,73,73,0.42,0,0,0,0,0,0.666666666666667,0.333333333333333,0,0,0
"52",2001,1,-2,0,0,1,79,79,0.28,0,0,0,0,0,0,0.5,0,0.5,0
"53",2001,1,-2,0,0,1,82,82,0.28,0,0,0,0,0,0.5,0.5,0,0,0
"54",2001,1,-2,0,0,1,85,85,0.14,0,0,0,0,0,0,1,0,0,0
"55",2001,1,-2,0,0,1,91,91,0.14,0,0,0,0,0,0,0,1,0,0
"56",2001,1,-2,0,0,1,94,94,0.14,0,0,0,0,0,0,0,1,0,0
"57",2001,1,-2,0,0,1,97,97,0.14,0,0,0,0,0,0,0,1,0,0
"58",2020,1,2,0,0,1,100,100,0.42,0,0,0,0,0,0,1,0,0,0
"59",2020,1,2,0,0,1,103,103,0.7,0,0,0,0,0,0,0,0.8,0.2,0
"60",2020,1,2,0,0,1,109,109,0.42,0,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0
"61",2020,1,2,0,0,1,40,40,0.14,0,1,0,0,0,0,0,0,0,0
"62",2020,1,2,0,0,1,43,43,0.56,0,0.75,0.25,0,0,0,0,0,0,0
"63",2020,1,2,0,0,1,46,46,0.28,0,0.5,0.5,0,0,0,0,0,0,0
"64",2020,1,2,0,0,1,49,49,1.12,0,0,0.625,0.375,0,0,0,0,0,0
"65",2020,1,2,0,0,1,52,52,2.1,0,0,0.4,0.6,0,0,0,0,0,0
"66",2020,1,2,0,0,1,55,55,2.52,0,0,0.444444444444444,0.555555555555556,0,0,0,0,0,0
"67",2020,1,2,0,0,1,58,58,3.08,0,0,0.454545454545455,0.545454545454545,0,0,0,0,0,0
"68",2020,1,2,0,0,1,61,61,2.24,0,0,0,0.75,0.25,0,0,0,0,0
"69",2020,1,2,0,0,1,64,64,3.36,0,0,0.166666666666667,0.583333333333333,0.208333333333333,0.0416666666666667,0,0,0,0
