"","Number","Parameter","Value","StDev"
"1","1","NatM_uniform_Fem_GP_1","0.362321","0.0125412"
"2","2","L_at_Amin_Fem_GP_1","11.6698","1.29772"
"3","3","L_at_Amax_Fem_GP_1","113.496","0.516295"
"4","4","VonBert_K_Fem_GP_1","0.234223","0.00433923"
"5","5","SD_young_Fem_GP_1","8.81028","0.479503"
"6","6","SD_old_Fem_GP_1","4.45893","0.24538"
"7","7","Wtlen_1_Fem_GP_1","5.611e-06",NA
"8","8","Wtlen_2_Fem_GP_1","3.1756",NA
"9","9","Mat50%_Fem_GP_1","54.9",NA
"10","10","Mat_slope_Fem_GP_1","-0.1472",NA
"11","11","Eggs/kg_inter_Fem_GP_1","1",NA
"12","12","Eggs/kg_slope_wt_Fem_GP_1","0",NA
"13","13","CohortGrowDev","1",NA
"14","14","AgeKeyParm1","3",NA
"15","15","AgeKeyParm2","0",NA
"16","16","AgeKeyParm3","0",NA
"17","17","AgeKeyParm4","0",NA
"18","18","AgeKeyParm5","0.57",NA
"19","19","AgeKeyParm6","1.16",NA
"20","20","AgeKeyParm7","0",NA
"21","21","FracFemale_GP_1","0.5",NA
"22","22","SR_LN(R0)","10.5689","0.0997626"
"23","23","SR_BH_steep","1",NA
"24","24","SR_sigmaR","0.636",NA
"25","25","SR_regime","0",NA
"26","26","SR_autocorr","0",NA
"27","27","Main_RecrDev_1991","0.0172014","0.120414"
"28","28","Main_RecrDev_1992","-0.750652","0.215082"
"29","29","Main_RecrDev_1993","0.639919","0.0805537"
"30","30","Main_RecrDev_1994","0.225763","0.108167"
"31","31","Main_RecrDev_1995","-0.16089","0.130021"
"32","32","Main_RecrDev_1996","0.564058","0.0794452"
"33","33","Main_RecrDev_1997","0.764204","0.0674153"
"34","34","Main_RecrDev_1998","-0.32154","0.130677"
"35","35","Main_RecrDev_1999","0.389088","0.0836864"
"36","36","Main_RecrDev_2000","0.623493","0.0729424"
"37","37","Main_RecrDev_2001","-0.00447618","0.102943"
"38","38","Main_RecrDev_2002","-0.430641","0.123252"
"39","39","Main_RecrDev_2003","-0.144491","0.0972293"
"40","40","Main_RecrDev_2004","-0.692973","0.151848"
"41","41","Main_RecrDev_2005","-0.00751228","0.088793"
"42","42","Main_RecrDev_2006","-0.779454","0.153011"
"43","43","Main_RecrDev_2007","0.136427","0.0902202"
"44","44","Main_RecrDev_2008","-0.148622","0.109325"
"45","45","Main_RecrDev_2009","-1.06641","0.193497"
"46","46","Main_RecrDev_2010","-0.612897","0.148105"
"47","47","Main_RecrDev_2011","-0.301067","0.129414"
"48","48","Main_RecrDev_2012","-0.26777","0.127496"
"49","49","Main_RecrDev_2013","-0.352988","0.137923"
"50","50","Main_RecrDev_2014","-0.084303","0.124687"
"51","51","Main_RecrDev_2015","-0.116646","0.136223"
"52","52","Main_RecrDev_2016","-0.358419","0.149725"
"53","53","Main_RecrDev_2017","-0.327913","0.153574"
"54","54","Late_RecrDev_2018","-0.881568","0.226701"
"55","55","Late_RecrDev_2019","-0.262833","0.199338"
"56","56","Late_RecrDev_2020","-0.622368","0.374771"
"57","57","Late_RecrDev_2021","-0.58092","0.440284"
"58","58","Late_RecrDev_2022","0","0.636"
"59","59","ForeRecr_2023","0","0.636"
"60","60","ForeRecr_2024","0","0.636"
"61","61","ForeRecr_2025","0","0.636"
"62","62","ForeRecr_2026","0","0.636"
"63","63","ForeRecr_2027","0","0.636"
"64","64","ForeRecr_2028","0","0.636"
"65","65","ForeRecr_2029","0","0.636"
"66","66","ForeRecr_2030","0","0.636"
"67","67","ForeRecr_2031","0","0.636"
"68","68","ForeRecr_2032","0","0.636"
"69","69","ForeRecr_2033","0","0.636"
"70","70","ForeRecr_2034","0","0.636"
"71","71","ForeRecr_2035","0","0.636"
"72","72","ForeRecr_2036","0","0.636"
"73","73","ForeRecr_2037","0","0.636"
"74","74","LnQ_base_Srv(4)","-0.0198271","0.0099061"
"75","75","LnQ_base_LLSrv(5)","1.95788","0.0658809"
"76","76","Size_DblN_peak_FshTrawl(1)","100.411","1.94979"
"77","77","Size_DblN_top_logit_FshTrawl(1)","-1.14787","5.04246"
"78","78","Size_DblN_ascend_se_FshTrawl(1)","6.55953","0.0628068"
"79","79","Size_DblN_descend_se_FshTrawl(1)","-1.97885","153.551"
"80","80","Size_DblN_start_logit_FshTrawl(1)","-999",NA
"81","81","Size_DblN_end_logit_FshTrawl(1)","10",NA
"82","82","Size_DblN_peak_FshLL(2)","68.3864","1.21733"
"83","83","Size_DblN_top_logit_FshLL(2)","1.78966","65.0597"
"84","84","Size_DblN_ascend_se_FshLL(2)","5.58406","0.0904437"
"85","85","Size_DblN_descend_se_FshLL(2)","5.05253","109.558"
"86","86","Size_DblN_start_logit_FshLL(2)","-999",NA
"87","87","Size_DblN_end_logit_FshLL(2)","10",NA
"88","88","Size_DblN_peak_FshPot(3)","75.6947","3.33208"
"89","89","Size_DblN_top_logit_FshPot(3)","-4.7582","384.759"
"90","90","Size_DblN_ascend_se_FshPot(3)","5.573","0.286078"
"91","91","Size_DblN_descend_se_FshPot(3)","5.66054","100.636"
"92","92","Size_DblN_start_logit_FshPot(3)","-999",NA
"93","93","Size_DblN_end_logit_FshPot(3)","10",NA
"94","94","Size_DblN_peak_Srv(4)","89.981","0.607598"
