"","Yr","Catch","Catch_std","model"
"1",2023,29479.4,4390.91,"scenario_1"
"2",2024,19113,8680,"scenario_1"
"3",2025,17254.7,12673.4,"scenario_1"
"4",2026,20941.9,13711.4,"scenario_1"
"5",2027,26817.9,13487.8,"scenario_1"
"6",2028,30575.8,13268.7,"scenario_1"
"7",2029,32122.7,13203,"scenario_1"
"8",2030,32163.5,13191.3,"scenario_1"
"9",2031,32037.5,13191.1,"scenario_1"
"10",2032,32068,13196.4,"scenario_1"
"11",2033,32000.9,13199.9,"scenario_1"
"12",2034,31975.5,13200.8,"scenario_1"
"13",2035,31975.1,13200.7,"scenario_1"
"14",2036,31979.4,NA,"scenario_1"
"15",2037,31981.9,4390.91,"scenario_1"
"16",2023,29479.4,4390.91,"scenario_2"
"17",2024,19113,8680,"scenario_2"
"18",2025,17254.7,12673.4,"scenario_2"
"19",2026,20941.9,13711.4,"scenario_2"
"20",2027,26817.9,13487.8,"scenario_2"
"21",2028,30575.8,13268.7,"scenario_2"
"22",2029,32122.7,13203,"scenario_2"
"23",2030,32163.5,13191.3,"scenario_2"
"24",2031,32037.5,13191.1,"scenario_2"
"25",2032,32068,13196.4,"scenario_2"
"26",2033,32000.9,13199.9,"scenario_2"
"27",2034,31975.5,13200.8,"scenario_2"
"28",2035,31975.1,13200.7,"scenario_2"
"29",2036,31979.4,NA,"scenario_2"
"30",2037,31981.9,4390.91,"scenario_2"
"31",2023,16173.2,3354.97,"scenario_3"
"32",2024,14902.6,6195.68,"scenario_3"
"33",2025,14640.2,3323.09,"scenario_3"
"34",2026,17088.8,4476.56,"scenario_3"
"35",2027,18691.2,5173.12,"scenario_3"
"36",2028,20233.1,5530.64,"scenario_3"
"37",2029,21652.8,5691.18,"scenario_3"
"38",2030,22642.6,5766.36,"scenario_3"
"39",2031,23321.9,5792.24,"scenario_3"
"40",2032,23821.8,5800.17,"scenario_3"
"41",2033,24097.7,5802.24,"scenario_3"
"42",2034,24250.5,5802.6,"scenario_3"
"43",2035,24335.2,5802.52,"scenario_3"
"44",2036,24382.2,NA,"scenario_3"
"45",2037,24408.2,3354.97,"scenario_3"
"46",2023,8008.35,895.899,"scenario_4"
"47",2024,8520.67,1360.77,"scenario_4"
"48",2025,8879.29,2003.75,"scenario_4"
"49",2026,9564.38,2563.34,"scenario_4"
"50",2027,10586,2951.58,"scenario_4"
"51",2028,11661,3181.64,"scenario_4"
"52",2029,12719.8,3304.43,"scenario_4"
"53",2030,13522.9,3379.54,"scenario_4"
"54",2031,14132.5,3408.74,"scenario_4"
"55",2032,14626,3420.03,"scenario_4"
"56",2033,14934,3424.26,"scenario_4"
"57",2034,15126.3,3425.72,"scenario_4"
"58",2035,15246.4,3426.1,"scenario_4"
"59",2036,15321.3,NA,"scenario_4"
"60",2037,15368.1,895.899,"scenario_4"
"61",2023,0,0,"scenario_5"
"62",2024,0,0,"scenario_5"
"63",2025,0,0,"scenario_5"
"64",2026,0,0,"scenario_5"
"65",2027,0,0,"scenario_5"
"66",2028,0,0,"scenario_5"
"67",2029,0,0,"scenario_5"
"68",2030,0,0,"scenario_5"
"69",2031,0,0,"scenario_5"
"70",2032,0,0,"scenario_5"
"71",2033,0,0,"scenario_5"
"72",2034,0,0,"scenario_5"
"73",2035,0,0,"scenario_5"
"74",2036,0,NA,"scenario_5"
"75",2037,0,0,"scenario_5"
"76",2023,34562,4719.48,"scenario_6"
"77",2024,19215.2,9565.72,"scenario_6"
"78",2025,17454.1,13596,"scenario_6"
"79",2026,21974.2,14273.5,"scenario_6"
"80",2027,28403.8,13929.3,"scenario_6"
"81",2028,31963.6,13735.8,"scenario_6"
"82",2029,33105.6,13698.7,"scenario_6"
"83",2030,32950.3,13697.7,"scenario_6"
"84",2031,32799.9,13699.6,"scenario_6"
"85",2032,32840.1,13704.3,"scenario_6"
"86",2033,32788.8,13706.6,"scenario_6"
"87",2034,32774.4,13706.9,"scenario_6"
"88",2035,32777.2,13706.6,"scenario_6"
"89",2036,32780.9,NA,"scenario_6"
"90",2037,32782.3,4719.48,"scenario_6"
"91",2023,29479.4,9148.74,"scenario_7"
"92",2024,19113,9905.55,"scenario_7"
"93",2025,20356.5,13500.3,"scenario_7"
"94",2026,22663.7,14236.3,"scenario_7"
"95",2027,28384.4,13934.1,"scenario_7"
"96",2028,31838.4,13742.5,"scenario_7"
"97",2029,33050.7,13701.6,"scenario_7"
"98",2030,32939,13698.3,"scenario_7"
"99",2031,32801.3,13699.5,"scenario_7"
"100",2032,32842.4,13704.1,"scenario_7"
"101",2033,32790.5,13706.5,"scenario_7"
"102",2034,32774.9,13706.9,"scenario_7"
"103",2035,32777.1,13706.6,"scenario_7"
"104",2036,32780.8,NA,"scenario_7"
"105",2037,32782.2,9148.74,"scenario_7"
