"","Yr","TOT","SUMM","SSB","std","F","Catch","SSB_unfished","model"
"1",1991,281350,281350,115667,4241.525,0.0417554,9797.54,116421,"scenario_1"
"2",1992,272494,272494,108911.5,4257.04,0.198723,43067.8,116421,"scenario_1"
"3",1993,234851,234851,92498.5,4263.375,0.214101,34204.7,116421,"scenario_1"
"4",1994,208932,208932,82651,4147.9,0.146309,21539,116421,"scenario_1"
"5",1995,197661,197661,78460.5,3757.635,0.13049,16534.1,116421,"scenario_1"
"6",1996,197814,197814,74223,3338.7,0.265499,31609.1,116421,"scenario_1"
"7",1997,187763,187763,69714.5,3056.015,0.274356,25164.1,116421,"scenario_1"
"8",1998,186747,186747,69343.5,2876.03,0.33475,34726.3,116421,"scenario_1"
"9",1999,183800,183800,65584,2773.53,0.269177,28130.4,116421,"scenario_1"
"10",2000,192237,192237,66671.5,2829.185,0.435882,39684.5,116421,"scenario_1"
"11",2001,187624,187624,68278,2890.595,0.273962,34207.3,116421,"scenario_1"
"12",2002,186141,186141,67932,2902.57,0.316977,30800.9,116421,"scenario_1"
"13",2003,189924,189924,67872.5,2925.575,0.481946,32456.7,116421,"scenario_1"
"14",2004,187374,187374,69811.5,2850.11,0.398984,28873.1,116421,"scenario_1"
"15",2005,179835,179835,70712.5,2674.78,0.228569,22693.6,116421,"scenario_1"
"16",2006,170897,170897,68197,2425.395,0.280634,24211.4,116421,"scenario_1"
"17",2007,156350,156350,61194.5,2167.865,0.443661,34354.6,116421,"scenario_1"
"18",2008,131644,131644,49784.55,1969.03,0.505097,31228.7,116421,"scenario_1"
"19",2009,113809,113809,41626.65,1923.815,0.575998,28581.8,116421,"scenario_1"
"20",2010,103865,103865,35684.45,1961.1,0.661601,29006.1,116421,"scenario_1"
"21",2011,95064.6,95064.6,33696.7,2015.105,0.287308,10888.3,116421,"scenario_1"
"22",2012,99962.7,99962.7,37609.35,2121.35,0.323989,18217.1,116421,"scenario_1"
"23",2013,95035.4,95035.4,36428.5,2155.05,0.243797,13610.5,116421,"scenario_1"
"24",2014,94407.9,94407.9,35282.25,2152.565,0.220205,10601.7,116421,"scenario_1"
"25",2015,98593.8,98593.8,36441.25,2223.81,0.256555,9216.13,116421,"scenario_1"
"26",2016,105435,105435,38674.7,2339.105,0.264189,13245.1,116421,"scenario_1"
"27",2017,111733,111733,40341.7,2508.505,0.267608,15178.2,116421,"scenario_1"
"28",2018,117328,117328,41996,2745.16,0.302771,20414.3,116421,"scenario_1"
"29",2019,117295,117295,42624.45,3011.08,0.258965,19144.9,116421,"scenario_1"
"30",2020,116652,116652,43673.8,3239.005,0.165284,14264.1,116421,"scenario_1"
"31",2021,117721,117721,45131.65,3365.975,0.15475,13966.1,116421,"scenario_1"
"32",2022,117618,117618,45057.25,3445.75,0.126204,11138.3,116421,"scenario_1"
"33",2023,119058,119058,44208.95,3156.67,0.443869,29479.4,116421,"scenario_1"
"34",2024,105517,105517,38402.25,2316.595,0.325328,19113,116421,"scenario_1"
"35",2025,107915,107915,37205.45,3127.22,0.301832,17254.7,116421,"scenario_1"
"36",2026,117729,117729,39601.85,5514.55,0.350726,20941.9,116421,"scenario_1"
"37",2027,127498,127498,43132.45,7288.6,0.422551,26817.9,116421,"scenario_1"
