"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2022,11138.3,11138.3,11138.3,11138.3,11138.3,11138.3,11138.3
"2",2023,29479.4,29479.4,16173.2,8008.35,0,34562,29479.4
"3",2024,19113,19113,14902.6,8520.67,0,19215.2,19113
"4",2025,17254.7,17254.7,14640.2,8879.29,0,17454.1,20356.5
"5",2026,20941.9,20941.9,17088.8,9564.38,0,21974.2,22663.7
"6",2027,26817.9,26817.9,18691.2,10586,0,28403.8,28384.4
"7",2028,30575.8,30575.8,20233.1,11661,0,31963.6,31838.4
"8",2029,32122.7,32122.7,21652.8,12719.8,0,33105.6,33050.7
"9",2030,32163.5,32163.5,22642.6,13522.9,0,32950.3,32939
"10",2031,32037.5,32037.5,23321.9,14132.5,0,32799.9,32801.3
"11",2032,32068,32068,23821.8,14626,0,32840.1,32842.4
"12",2033,32000.9,32000.9,24097.7,14934,0,32788.8,32790.5
"13",2034,31975.5,31975.5,24250.5,15126.3,0,32774.4,32774.9
"14",2035,31975.1,31975.1,24335.2,15246.4,0,32777.2,32777.1
"15",2036,31979.4,31979.4,24382.2,15321.3,0,32780.9,32780.8
"16",2037,31981.9,31981.9,24408.2,15368.1,0,32782.3,32782.2
