"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2022,0.126204,0.126204,0.126204,0.126204,0.126204,0.126204,0.126204
"2",2023,0.443869,0.443869,0.218971,0.107852,0,0.535932,0.443869
"3",2024,0.325328,0.325328,0.20737,0.11015,0,0.34755,0.325328
"4",2025,0.301832,0.301832,0.204534,0.11015,0,0.323381,0.36292
"5",2026,0.350726,0.350726,0.227769,0.11015,0,0.388243,0.396866
"6",2027,0.422551,0.422551,0.229876,0.11015,0,0.473412,0.472957
"7",2028,0.464675,0.464675,0.229876,0.11015,0,0.516967,0.515448
"8",2029,0.48059,0.48059,0.229876,0.11015,0,0.52972,0.529097
"9",2030,0.48058,0.48058,0.229876,0.11015,0,0.527495,0.527381
"10",2031,0.479093,0.479093,0.229876,0.11015,0,0.525618,0.525641
"11",2032,0.479375,0.479375,0.229876,0.11015,0,0.52606,0.526087
"12",2033,0.478691,0.478691,0.229876,0.11015,0,0.525488,0.525507
"13",2034,0.478441,0.478441,0.229876,0.11015,0,0.525336,0.525342
"14",2035,0.478442,0.478442,0.229876,0.11015,0,0.525372,0.525371
"15",2036,0.478489,0.478489,0.229876,0.11015,0,0.525415,0.525414
"16",2037,0.478514,0.478514,0.229876,0.11015,0,0.52543,0.52543
