"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2022,45057.25,45057.25,45057.25,45057.25,45057.25,45057.25,45057.25
"2",2023,44208.95,44208.95,45387.05,46034.6,46638.1,43722.85,44208.95
"3",2024,38402.25,38402.25,44126.65,47976.9,51918,36359.45,38402.25
"4",2025,37205.45,37205.45,43815.65,49841.6,56901.5,35349.3,36947.2
"5",2026,39601.85,39601.85,46339.7,54019,63755.5,37885.6,38235
"6",2027,43132.45,43132.45,50654.5,60334,72557,41231.05,41214.7
"7",2028,45187,45187,54986.5,66587.5,81158.5,42930.15,42871.3
"8",2029,45959.05,45959.05,58747,72336,89475.5,43427.45,43403.25
"9",2030,45958.8,45958.8,61286,76540,95964,43342.3,43337.8
"10",2031,45886.95,45886.95,63009,79679.5,101226,43269.85,43270.75
"11",2032,45900.65,45900.65,64284,82220,105844.5,43287.3,43288.35
"12",2033,45867.55,45867.55,64988,83806,109059,43265.05,43265.8
"13",2034,45855.45,45855.45,65377.5,84796.5,111297,43259.1,43259.3
"14",2035,45855.55,45855.55,65593.5,85414.5,112854,43260.5,43260.45
"15",2036,45857.8,45857.8,65713.5,85800.5,113938.5,43262.15,43262.1
"16",2037,45859,45859,65779.5,86041,114693,43262.75,43262.7
