"","type","peel","Rho","ForcastRho"
"1","SSB","2021",0.37219667350961,0.476599215442576
"2","SSB","2020",0.430926550929848,0.484224485477486
"3","SSB","2019",0.458259285457056,0.54608712775165
"4","SSB","2018",0.333424611867797,0.467725683263948
"5","SSB","2017",0.33945768274515,0.469247071149633
"6","SSB","2016",0.198363529645996,0.355929472481328
"7","SSB","2015",0.145158302747573,0.194796598292941
"8","SSB","2014",0.118918152895578,0.159056014818372
"9","SSB","2013",0.0848127153190496,0.090138809174585
"10","SSB","2012",0.0368525379991943,0.0640487530367706
"11","SSB","Combined",0.251837004311685,0.330785323088929
"12","F","2021",-0.285208400646204,-0.28349973059491
"13","F","2020",-0.303175140969483,-0.27426817447496
"14","F","2019",-0.308620856100245,-0.286295104184313
"15","F","2018",-0.212441085837151,-0.213121464290541
"16","F","2017",-0.231237481689636,-0.292930961023348
"17","F","2016",-0.138544753945092,-0.3086641654958
"18","F","2015",-0.127699713511723,-0.188879930655705
"19","F","2014",-0.0212756295270317,-0.448691313753386
"20","F","2013",-0.0652387026911734,-0.192384369110602
"21","F","2012",0.108244415705471,-0.0386387035115281
"22","F","Combined",-0.158519734921227,-0.252737391709509
