"","type","peel","Rho","ForcastRho"
"1","SSB","2021",0.445741189614069,0.561807897709559
"2","SSB","2020",0.383543666667346,0.448983052538129
"3","SSB","2019",0.407852109147991,0.509152709540296
"4","SSB","2018",0.282508932183723,0.416723723322534
"5","SSB","2017",0.296260786193672,0.448406831479289
"6","SSB","2016",0.152324829354315,0.31714196526121
"7","SSB","2015",0.119326781575308,0.193147185683909
"8","SSB","2014",0.089359127389335,0.142564264506157
"9","SSB","2013",0.0639059854985957,0.0944140080446809
"10","SSB","2012",0.011685274700204,0.0430174075559948
"11","SSB","Combined",0.225250868232456,0.317535904564176
"12","F","2021",-0.313543646268846,-0.305574895184856
"13","F","2020",-0.274633012288276,-0.244830158931261
"14","F","2019",-0.26354781693054,-0.249398870807041
"15","F","2018",-0.162568996755572,-0.156920261241272
"16","F","2017",-0.183944112021753,-0.268167389991432
"17","F","2016",-0.103283700433811,-0.297598107366982
"18","F","2015",-0.10641208498665,-0.20440215609585
"19","F","2014",0.0052026859936465,-0.4691093657092
"20","F","2013",-0.0541194314779221,-0.205235024444064
"21","F","2012",0.0911279383012464,-0.0287529910171419
"22","F","Combined",-0.136572217686848,-0.24299892207891
