Num,Label,Value,Parm_StDev
1,NatM_uniform_Fem_GP_1,0.428122,0.00593039
2,L_at_Amin_Fem_GP_1,8.80463,1.37964
3,L_at_Amax_Fem_GP_1,114.3,0.520868
4,VonBert_K_Fem_GP_1,0.238401,0.00449421
5,SD_young_Fem_GP_1,9.53178,0.472639
6,SD_old_Fem_GP_1,4.17802,0.242472
7,Wtlen_1_Fem_GP_1,5.61E-06,NA
8,Wtlen_2_Fem_GP_1,3.1756,NA
9,Mat50%_Fem_GP_1,54.9,NA
10,Mat_slope_Fem_GP_1,-0.1472,NA
11,Eggs/kg_inter_Fem_GP_1,1,NA
12,Eggs/kg_slope_wt_Fem_GP_1,0,NA
13,CohortGrowDev,1,NA
14,AgeKeyParm1,3,NA
15,AgeKeyParm2,0,NA
16,AgeKeyParm3,0,NA
17,AgeKeyParm4,0,NA
18,AgeKeyParm5,0.57,NA
19,AgeKeyParm6,1.16,NA
20,AgeKeyParm7,0,NA
21,FracFemale_GP_1,0.5,NA
22,SR_LN(R0),11.1,NA
23,SR_BH_steep,1,NA
24,SR_sigmaR,0.4979,NA
25,SR_regime,0,NA
26,SR_autocorr,0,NA
27,Main_RecrDev_1991,-0.133249,0.119044
28,Main_RecrDev_1992,-0.868865,0.19223
29,Main_RecrDev_1993,0.442923,0.0757005
30,Main_RecrDev_1994,0.0103396,0.101221
31,Main_RecrDev_1995,-0.349655,0.120659
32,Main_RecrDev_1996,0.333498,0.074071
33,Main_RecrDev_1997,0.556364,0.0619112
34,Main_RecrDev_1998,-0.502898,0.123556
35,Main_RecrDev_1999,0.205055,0.0818853
36,Main_RecrDev_2000,0.465806,0.0707578
37,Main_RecrDev_2001,-0.127915,0.100316
38,Main_RecrDev_2002,-0.586091,0.117205
39,Main_RecrDev_2003,-0.343242,0.0927349
40,Main_RecrDev_2004,-0.882373,0.139604
41,Main_RecrDev_2005,-0.218148,0.0842712
42,Main_RecrDev_2006,-0.969617,0.142627
43,Main_RecrDev_2007,-0.043275,0.0882494
44,Main_RecrDev_2008,-0.31693,0.106115
45,Main_RecrDev_2009,-1.17507,0.178087
46,Main_RecrDev_2010,-0.75712,0.1418
47,Main_RecrDev_2011,-0.466893,0.125542
48,Main_RecrDev_2012,-0.410503,0.12263
49,Main_RecrDev_2013,-0.52291,0.134076
50,Main_RecrDev_2014,-0.229988,0.120784
51,Main_RecrDev_2015,-0.261577,0.132775
52,Main_RecrDev_2016,-0.465464,0.141325
53,Main_RecrDev_2017,-0.47556,0.149483
54,Late_RecrDev_2018,-0.945596,0.206287
55,Late_RecrDev_2019,-0.370058,0.19168
56,Late_RecrDev_2020,-0.609211,0.331374
57,Late_RecrDev_2021,-0.409514,0.386774
58,Late_RecrDev_2022,0,0.4979
59,ForeRecr_2023,0,0.4979
60,ForeRecr_2024,0,0.4979
61,ForeRecr_2025,0,0.4979
62,ForeRecr_2026,0,0.4979
63,ForeRecr_2027,0,0.4979
