,Catch.Yr,Catch.scenario_1,Catch.scenario_2,Catch.scenario_3,Catch.scenario_4,Catch.scenario_5,Catch.scenario_6,Catch.scenario_7,F.Yr,F.scenario_1,F.scenario_2,F.scenario_3,F.scenario_4,F.scenario_5,F.scenario_6,F.scenario_7,SSB.Yr,SSB.scenario_1,SSB.scenario_2,SSB.scenario_3,SSB.scenario_4,SSB.scenario_5,SSB.scenario_6,SSB.scenario_7
1,2022,10547.1,10547.1,10547.1,10547.1,10547.1,10547.1,10547.1,2022,0.12804,0.12804,0.12804,0.12804,0.12804,0.12804,0.12804,2022,41794.35,41794.35,41794.35,41794.35,41794.35,41794.35,41794.35
2,2023,25591,25591,15323.5,6751.08,13600.7,30291.1,25591,2023,0.401796,0.401796,0.219722,0.0954191,0.153426,0.489635,0.401797,2023,40927.7,40927.7,41835.35,42518.95,42015.55,40483.55,40927.7
3,2024,19308.3,19308.3,14200.1,7385.64,12980,20733.9,19308.3,2024,0.344428,0.344428,0.210903,0.0999145,0.14966,0.396897,0.344428,2024,35654.7,35654.7,40292.55,44390.4,41076.15,33616.65,35654.7
4,2025,17737.5,17737.5,14226.1,7981.96,13348.7,18580.6,21144.6,2025,0.329037,0.329037,0.210861,0.102429,0.150572,0.373937,0.401256,2025,34205.4,34205.4,40281.1,46760.3,41272.65,31856.9,33918.5
5,2026,19984.2,19984.2,16251.9,8713.65,15613.4,21079.5,22202.9,2026,0.353226,0.353226,0.226955,0.102429,0.161914,0.403374,0.414726,2026,36423.45,36423.45,43092.7,51409.5,44043.1,34029.15,34885.75
6,2027,24027.8,24027.8,18760.6,9732.55,18215.9,25471.9,25852.6,2027,0.392538,0.392538,0.240388,0.102429,0.172445,0.449956,0.453429,2027,40043.55,40043.55,47393.1,57824.5,48112.4,37495.85,37756.2
7,2028,27280.2,27280.2,20252.7,10768.9,19475,28765,28804,2028,0.421061,0.421061,0.240388,0.102429,0.172445,0.481502,0.481774,2028,42657.25,42657.25,51246,64009.5,51623.5,39833.75,39854.45
8,2029,29164.4,29164.4,21578.3,11766.3,20492.5,30438.1,30395.8,2029,0.436328,0.436328,0.240388,0.102429,0.172445,0.496326,0.495927,2029,44049.6,44049.6,54534.5,69680,54710.5,40928.7,40899.45
9,2030,29743.2,29743.2,22479.7,12520.2,21174,30828.1,30791.8,2030,0.440714,0.440714,0.240388,0.102429,0.172445,0.49949,0.49917,2030,44448.6,44448.6,56724,73861.5,56825.5,41162.5,41139
10,2031,29894.8,29894.8,23117.9,13118.9,21668.3,30875,30857.8,2031,0.441789,0.441789,0.240388,0.102429,0.172445,0.499771,0.499624,2031,44546.35,44546.35,58271,77155,58414,41183.8,41173
11,2032,29932.7,29932.7,23564.1,13586.1,22028.7,30871.2,30865.9,2032,0.442053,0.442053,0.240388,0.102429,0.172445,0.499709,0.499665,2032,44570.4,44570.4,59359.5,79729,59607.5,41179.5,41176.25
12,2033,29871.9,29871.9,23810.1,13884.6,22240.3,30812,30812.1,2033,0.441564,0.441564,0.240388,0.102429,0.172445,0.499188,0.49919,2033,44526.05,44526.05,59960,81373.5,60307,41141.2,41141.35
13,2034,29829.7,29829.7,23946.6,14075.3,22365.6,30780.8,30781.9,2034,0.441233,0.441233,0.240388,0.102429,0.172445,0.498919,0.498929,2034,44495.9,44495.9,60293,82424.5,60721,41121.4,41122.15
14,2035,29813.5,29813.5,24022.7,14197.2,22440.1,30772.4,30773.1,2035,0.441108,0.441108,0.240388,0.102429,0.172445,0.498849,0.498856,2035,44484.6,44484.6,60478.5,83096,60967,41116.25,41116.75
15,2036,29810.6,29810.6,24065.1,14275.1,22484.4,30772.8,30773,2036,0.441087,0.441087,0.240388,0.102429,0.172445,0.498855,0.498857,2036,44482.7,44482.7,60582,83525.5,61113.5,41116.65,41116.8
16,2037,29811.8,29811.8,24088.7,14324.8,22510.7,30774.6,30774.6,2037,0.441097,0.441097,0.240388,0.102429,0.172445,0.498871,0.498871,2037,44483.65,44483.65,60639.5,83799.5,61200.5,41117.85,41117.85
