"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2022,0.12804,0.12804,0.12804,0.12804,0.12804,0.12804,0.12804
"2",2023,0.401796,0.401796,0.219722,0.0954191,0.153426,0.489635,0.401797
"3",2024,0.344428,0.344428,0.210903,0.0999145,0.14966,0.396897,0.344428
"4",2025,0.329037,0.329037,0.210861,0.102429,0.150572,0.373937,0.401256
"5",2026,0.353226,0.353226,0.226955,0.102429,0.161914,0.403374,0.414726
"6",2027,0.392538,0.392538,0.240388,0.102429,0.172445,0.449956,0.453429
"7",2028,0.421061,0.421061,0.240388,0.102429,0.172445,0.481502,0.481774
"8",2029,0.436328,0.436328,0.240388,0.102429,0.172445,0.496326,0.495927
"9",2030,0.440714,0.440714,0.240388,0.102429,0.172445,0.49949,0.49917
"10",2031,0.441789,0.441789,0.240388,0.102429,0.172445,0.499771,0.499624
"11",2032,0.442053,0.442053,0.240388,0.102429,0.172445,0.499709,0.499665
"12",2033,0.441564,0.441564,0.240388,0.102429,0.172445,0.499188,0.49919
"13",2034,0.441233,0.441233,0.240388,0.102429,0.172445,0.498919,0.498929
"14",2035,0.441108,0.441108,0.240388,0.102429,0.172445,0.498849,0.498856
"15",2036,0.441087,0.441087,0.240388,0.102429,0.172445,0.498855,0.498857
"16",2037,0.441097,0.441097,0.240388,0.102429,0.172445,0.498871,0.498871
