"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10"
1991,0,308.474,5402.81,17711.2,29636,36173.4,37016.6,33945.9,28938.8,23447.3,68769.1
1992,0,313.826,5402.65,17692.7,29365,35252,35671.2,32591.3,27760,22488.9,65956.9
1993,0,121.166,5495.83,17613.9,28185.4,31321.9,29967.3,26857.5,22779.2,18438.7,54070.5
1994,0,486.742,2122.03,17935.2,28346.5,31242.2,27940.5,23213.7,18902.2,15039.6,43703.6
1995,0,321.687,8524.66,6937.71,29331.6,32527.6,29009.5,22647,17233.9,13259.4,37867.7
1996,0,218.53,5633.63,27889.1,11430.8,34192.6,30904.7,24215.7,17321.4,12406.7,33600.5
1997,0,451.183,3827,18398.7,45228.6,12720.5,30040.8,23254.5,16409.4,10944.7,26487.8
1998,0,551.157,7902.08,12520.1,30166.4,51949.3,11700.9,23574.7,16221.4,10529.2,21631.5
1999,0,186.098,9652.01,25759.1,20009.8,32689.3,44370.6,8504.17,15282.6,9718.8,17627.5
2000,0,378.76,3259.27,31548.2,41806.6,22202.4,28561.9,33147.4,5717.09,9586.87,16028.8
2001,0,478.812,6632.99,10638.7,50701.8,44776.2,18208.9,19698.5,20239,3198.43,13051.1
2002,0,255.53,8384.96,21564.2,16730.4,53826.8,37681.2,13173.5,12935.4,12512.2,9077.1
2003,0,166.863,4475.35,27431.9,35345.9,18951.4,47191.3,27417.6,8471.41,7720.96,12751.5
2004,0,222.144,2922.4,14645.2,45200.3,40739.8,16998.9,34630.3,17184.3,4727.37,10102.9
2005,0,128.36,3890.16,9539.87,23913.6,51736.3,36848.5,12859.8,22857.8,10259.9,7800.15
2006,0,254.755,2248.1,12728.3,15693.9,27668.4,47723.9,28945.8,9042.5,14954.5,11636.9
2007,0,117.726,4461.65,7350.25,20863.1,18080.3,25498.9,37467.3,20206.9,5806.8,16497.6
2008,0,294.195,2061.77,14574.4,11934.6,23309.1,15707.8,18297.1,23263,11315.3,10886.7
2009,0,221.228,5152.13,6726.01,23395.9,12953.5,19571.1,10937.1,11046,12636.4,11169.8
2010,0,88.3589,3874.44,16812.6,10804.2,25432,10777.1,13175.1,6227.45,5566.65,11107.6
2011,0,139.062,1547.46,12633.6,26698.2,11295.1,19823,6652.69,6782.02,2824.95,6668.41
2012,0,189.948,2435.56,5066.42,20872.1,31147.5,10481.4,15495.8,4581.79,4280.7,5411.52
2013,0,196.379,3326.73,7962.2,8227.5,23073.5,26649.1,7513.11,9877.27,2715.87,5493.83
2014,0,181.147,3439.44,10889.6,13066,9343.49,20677.8,20394.6,5170.02,6343.95,4901.78
2015,0,247.852,3172.69,11264.8,17993,15183.2,8697.89,16561.1,14679.2,3453.67,7340.28
2016,0,250.967,4340.88,10379.3,18539.9,21084.7,14556.5,7239.89,12365.1,10079.8,6597.66
2017,0,206.105,4395.51,14212.1,17133.7,21551.6,19475.1,11360.5,5007.9,7890.48,10500.5
2018,0,222.233,3609.74,14377.9,23222,19389.6,19391.9,15007.8,7839.75,3200.07,11067.1
2019,0,127.749,3892.18,11801.1,23293.8,25409.7,16472.7,14004.5,9738.07,4747.45,7807.8
2020,0,237.177,2237.37,12722.3,19131.9,25582.4,21751.7,12083,9331.65,6111.08,7463.95
2021,0,165.549,4153.62,7303.48,20565.8,21298.2,22894.9,17125.7,8772.79,6418.15,9023.32
2022,0,172.555,2899.31,13569,11839.4,22953.2,19126.2,18140.4,12542.3,6093.69,10282.3
2023,0,308.474,3022.06,9485.95,22252,13520.3,21164.8,15578.8,13665.2,8963.3,11097.3
2024,0,308.474,5402.27,9854.91,15087.3,23276.9,10749.7,14065.1,9156.98,7394.19,10221.1
2025,0,308.474,5402.41,17641.5,15888,16446.1,19797.3,7785.37,9130.33,5518.92,9996.38
2026,0,308.474,5402.44,17646.8,28517.9,17461,14175.7,14584.5,5154.31,5621.73,8856.02
2027,0,308.474,5402.38,17636.7,28367.5,30813.1,14637.9,10079.2,9268.2,3035.56,7949.18
2028,0,308.474,5402.3,17621.6,28119.4,29894.8,24797.7,9879.28,6031.13,5113.19,5455
2029,0,308.474,5402.24,17612.5,27960.2,29202.5,23489.3,16232.5,5706.58,3202.25,5329.34
2030,0,308.474,5402.23,17609,27895,28877,22738.7,15199.5,9252.22,2986.39,4114.71
2031,0,308.474,5402.23,17609,27889.5,28809.7,22485.3,14713.9,8663.52,4841.95,3467.1
2032,0,308.474,5402.23,17609.3,27894.2,28819,22452,14565.7,8397.18,4540,4240.4
2033,0,308.474,5402.23,17609.2,27893.8,28821,22455.6,14541.1,8310.63,4399.3,4403.72
2034,0,308.474,5402.23,17609.4,27895.9,28827.4,22465.9,14550.6,8301.35,4356.66,4397.89
2035,0,308.474,5402.23,17609.4,27896.9,28832.1,22474.1,14559.9,8308.55,4352.79,4372.31
2036,0,308.474,5402.23,17609.4,27897,28833.1,22477.7,14565.2,8313.85,4356.56,4359.01
2037,0,308.474,5402.23,17609.4,27896.8,28832.7,22477.9,14567.1,8316.55,4359.15,4355.18
