"","Estimate","Interval"
"Unfished Spawning Biomass (mt)","232,842","214,672–251,012"
"Unfished Age 1+ Biomass (mt)","281,350","259,980–302,720"
"Unfished Recruitment (R0)","38,907","31,300–46,515"
"Spawning Biomass (mt) (2023)","88,418","76,044–100,792"
"Fraction Unfished (2023)","0.38","0.32–0.44"
"Reference Points Based SB40%","",""
"Proxy Spawning Biomass (mt) SB40%","93,137","85,869–100,405"
"SPR Resulting in SB40%","0.400","0.400–0.400"
"Exploitation Rate Resulting in SB40%","0.493","0.426–0.561"
"Yield with SPR Based On SB40% (mt)","31,917","28,492–35,342"
"Reference Points Based on SPR Proxy for MSY","",""
"Proxy Spawning Biomass (mt) (SPR40)","93,137","85,869–100,405"
"SPR40","0.400"," - "
"Exploitation Rate Corresponding to SPR40","0.493","0.426–0.561"
"Yield with SPR40 at SB SPR (mt)","31,917","28,492–35,342"
"Reference Points Based on Estimated MSY Values","",""
"Spawning Biomass (mt) at MSY (SB MSY)","93,137","85,869–100,405"
"SPR MSY","0.400","0.400–0.400"
"Exploitation Rate Corresponding to SPR MSY","0.493","0.426–0.561"
"MSY (mt)","31,917","28,492–35,342"
