"Year","OFL","ABC","ACL","Catch"
2013,"fill in","fill in","fill in","13,610.47"
2014,"fill in","fill in","fill in","10,601.66"
2015,"fill in","fill in","fill in","9,216.13"
2016,"fill in","fill in","fill in","13,245.08"
2017,"fill in","fill in","fill in","15,178.18"
2018,"fill in","fill in","fill in","20,414.29"
2019,"fill in","fill in","fill in","19,144.94"
2020,"fill in","fill in","fill in","14,264.11"
2021,"fill in","fill in","fill in","13,966.07"
2022,"fill in","fill in","fill in","11,138.28"
