"Quantity","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","13610.47","10601.659","9216.13","13245.08","15178.18","20414.29","19144.94","14264.11","13966.07","11138.28","NA"
"1-SPR","0.43","0.36","0.32","0.40","0.43","0.50","0.49","0.41","0.40","0.34","NA"
"Fill in F method","0.24","0.22","0.26","0.26","0.27","0.30","0.26","0.17","0.15","0.13","NA"
"Age 1+ Biomass (mt)","95,035","94,408","98,594","105,435","111,733","117,328","117,295","116,652","117,721","117,618","186,747"
"Spawning Biomass (mt)","72,857","70,564","72,882","77,349","80,683","83,992","85,249","87,348","90,263","90,114","88,418"
"Interval","64,409–81,305","62,127–79,002","64,165–81,600","68,180–86,519","70,850–90,517","73,231–94,753","73,446–97,052","74,651–100,044","77,069–103,458","76,607–103,622","76,044–100,792"
"Recruits","22,848","31,261","31,654","25,996","28,030","16,113","29,915","20,880","21,764","38,907","38,907"
"Interval","16,959–30,781","23,671–41,285","23,570–42,511","18,863–35,825","20,391–38,530","10,233–25,371","19,894–44,983","10,163–42,901","9,359–50,614","12,269–123,384","12,269–123,384"
"Fraction Unfished","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4"
"Interval","0.3–0.4","0.3–0.3","0.3–0.4","0.3–0.4","0.3–0.4","0.3–0.4","0.3–0.4","0.3–0.4","0.3–0.4","0.3–0.4","0.3–0.4"
