"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10"
1991,0,37750.1,26276.3,18289.8,12730.8,8861.39,6168.04,4293.32,2988.4,2080.1,4763.66
1992,0,38405.1,26275.5,18270.7,12614.4,8635.66,5943.85,4122,2866.66,1995.07,4568.85
1993,0,14827.9,26728.7,18189.4,12107.7,7672.9,4993.41,3396.81,2352.32,1635.77,3745.48
1994,0,59566,10320.4,18521.1,12176.9,7653.37,4655.69,2935.96,1951.96,1334.22,3027.36
1995,0,39367,41459.3,7164.36,12600.1,7968.26,4833.82,2864.29,1779.68,1176.29,2623.11
1996,0,26743.1,27398.9,28800.2,4910.36,8376.13,5149.62,3062.69,1788.71,1100.65,2327.52
1997,0,55214.4,18612.5,18999.8,19429,3116.13,5005.66,2941.12,1694.53,970.944,1834.82
1998,0,67448.9,38431.4,12929.2,12958.6,12726,1949.71,2981.62,1675.12,934.086,1498.42
1999,0,22774.1,46942.1,26600.6,8595.66,8007.88,7393.43,1075.57,1578.17,862.192,1221.06
2000,0,46351.5,15851.3,32578.8,17959,5438.9,4759.24,4192.33,590.381,850.488,1110.32
2001,0,58595.6,32259.2,10986.3,21780.1,10968.8,3034.13,2491.37,2090.01,283.745,904.05
2002,0,31271,40779.9,22268.7,7186.94,13185.9,6278.77,1666.12,1335.79,1110.01,628.773
2003,0,20420.2,21765.6,28328.1,15183.6,4642.52,7863.44,3467.65,874.81,684.955,883.301
2004,0,27185.3,14213,15123.7,19416.8,9980.01,2832.52,4379.89,1774.55,419.383,699.833
2005,0,15708.4,18919.6,9851.53,10272.6,12673.8,6140.02,1626.45,2360.43,910.199,540.319
2006,0,31176.2,10933.5,13144.2,6741.67,6777.91,7952.19,3660.94,933.784,1326.67,806.093
2007,0,14407,21699,7590.38,8962.21,4429.12,4248.86,4738.7,2086.69,515.143,1142.79
2008,0,36002.7,10027.3,15050.6,5126.78,5710.03,2617.38,2314.13,2402.28,1003.83,754.125
2009,0,27073.2,25057.2,6945.74,10050.3,3173.2,3261.11,1383.28,1140.68,1121.03,773.736
2010,0,10813.1,18843.2,17361.8,4641.17,6230.06,1795.77,1666.33,643.085,493.839,769.425
2011,0,17017.9,7525.99,13046.3,11468.8,2766.96,3303.09,841.402,700.353,250.612,461.923
2012,0,23245.2,11845.2,5231.93,8966.07,7630.18,1746.5,1959.84,473.144,379.757,374.858
2013,0,24032.2,16179.4,8222.32,3534.31,5652.3,4440.51,950.225,1019.99,240.935,380.559
2014,0,22168.2,16727.6,11245.4,5612.81,2288.87,3445.53,2579.42,533.888,562.796,339.548
2015,0,30331.3,15430.2,11632.9,7729.32,3719.42,1449.32,2094.58,1515.86,306.388,508.463
2016,0,30712.6,21111.7,10718.4,7964.23,5165.1,2425.54,915.669,1276.9,894.22,457.022
2017,0,25222.5,21377.3,14676.3,7360.17,5279.49,3245.11,1436.83,517.147,699.995,727.37
2018,0,27196.2,17555.8,14847.6,9975.54,4749.86,3231.25,1898.12,809.58,283.89,766.62
2019,0,15633.6,18929.4,12186.6,10006.4,6224.6,2744.82,1771.22,1005.61,421.164,540.849
2020,0,29024.9,10881.3,13137.9,8218.53,6266.91,3624.46,1528.2,963.643,542.137,517.03
2021,0,20259.4,20200.9,7542.07,8834.5,5217.41,3814.95,2165.98,905.932,569.378,625.048
2022,0,21116.8,14100.7,14012.2,5085.89,5622.84,3186.99,2294.32,1295.2,540.595,712.258
2023,0,37750.1,14697.6,9795.85,9558.87,3312.05,3526.66,1970.33,1411.15,795.168,768.715
2024,0,37750.1,26273.7,10176.9,6481.07,5702.13,1791.22,1778.89,945.606,655.967,708.02
2025,0,37750.1,26274.4,18217.8,6825.03,4028.79,3298.81,984.658,942.854,489.604,692.452
2026,0,37750.1,26274.5,18223.3,12250.5,4277.4,2362.09,1844.58,532.265,498.725,613.459
2027,0,37750.1,26274.2,18212.9,12185.9,7548.26,2439.1,1274.77,957.091,269.296,550.642
2028,0,37750.1,26273.8,18197.2,12079.3,7323.3,4132.01,1249.49,622.812,453.61,377.869
2029,0,37750.1,26273.6,18187.9,12010.9,7153.72,3914,2053.01,589.297,284.084,369.165
2030,0,37750.1,26273.5,18184.3,11982.9,7073.97,3788.92,1922.37,955.441,264.934,285.027
2031,0,37750.1,26273.5,18184.2,11980.6,7057.51,3746.71,1860.95,894.648,429.547,240.167
2032,0,37750.1,26273.5,18184.5,11982.6,7059.77,3741.15,1842.2,867.145,402.761,293.734
2033,0,37750.1,26273.5,18184.5,11982.4,7060.25,3741.75,1839.09,858.206,390.279,305.047
2034,0,37750.1,26273.5,18184.6,11983.3,7061.83,3743.46,1840.3,857.249,386.496,304.643
2035,0,37750.1,26273.5,18184.7,11983.8,7062.97,3744.83,1841.48,857.992,386.153,302.871
2036,0,37750.1,26273.5,18184.7,11983.8,7063.23,3745.43,1842.15,858.539,386.487,301.95
2037,0,37750.1,26273.5,18184.7,11983.7,7063.13,3745.47,1842.38,858.818,386.717,301.685
