"","Number","Parameter","Value","StDev"
"1","1","NatM_uniform_Fem_GP_1","0.351565","0.0143484"
"2","2","L_at_Amin_Fem_GP_1","11.2578","1.09023"
"3","3","L_at_Amax_Fem_GP_1","113.491","0.691486"
"4","4","VonBert_K_Fem_GP_1","0.242727","0.00466061"
"5","5","SD_young_Fem_GP_1","9.71461","0.472432"
"6","6","SD_old_Fem_GP_1","4.72622","0.29474"
"7","7","Wtlen_1_Fem_GP_1","5.611e-06",NA
"8","8","Wtlen_2_Fem_GP_1","3.1756",NA
"9","9","Mat50%_Fem_GP_1","54.9",NA
"10","10","Mat_slope_Fem_GP_1","-0.1472",NA
"11","11","Eggs/kg_inter_Fem_GP_1","1",NA
"12","12","Eggs/kg_slope_wt_Fem_GP_1","0",NA
"13","13","CohortGrowDev","1",NA
"14","14","AgeKeyParm1","3",NA
"15","15","AgeKeyParm2","0",NA
"16","16","AgeKeyParm3","0",NA
"17","17","AgeKeyParm4","0",NA
"18","18","AgeKeyParm5","0.57",NA
"19","19","AgeKeyParm6","1.16",NA
"20","20","AgeKeyParm7","0",NA
"21","21","FracFemale_GP_1","0.5",NA
"22","22","SR_LN(R0)","10.3824","0.108645"
"23","23","SR_BH_steep","1",NA
"24","24","SR_sigmaR","0.636",NA
"25","25","SR_regime","0",NA
"26","26","SR_autocorr","0",NA
"27","27","Main_RecrDev_1991","0.147917","0.110436"
"28","28","Main_RecrDev_1992","-0.220034","0.13826"
"29","29","Main_RecrDev_1993","0.661903","0.0887016"
"30","30","Main_RecrDev_1994","0.284142","0.114087"
"31","31","Main_RecrDev_1995","0.200138","0.111511"
"32","32","Main_RecrDev_1996","0.674841","0.0880654"
"33","33","Main_RecrDev_1997","0.728463","0.0807968"
"34","34","Main_RecrDev_1998","0.226727","0.101642"
"35","35","Main_RecrDev_1999","0.412601","0.0905497"
"36","36","Main_RecrDev_2000","0.442607","0.0887388"
"37","37","Main_RecrDev_2001","0.303507","0.091865"
"38","38","Main_RecrDev_2002","-0.438305","0.133487"
"39","39","Main_RecrDev_2003","-0.134929","0.105448"
"40","40","Main_RecrDev_2004","-0.884691","0.177734"
"41","41","Main_RecrDev_2005","-0.0264533","0.0963821"
"42","42","Main_RecrDev_2006","-0.743076","0.145811"
"43","43","Main_RecrDev_2007","-0.0232619","0.0930203"
"44","44","Main_RecrDev_2008","-0.13248","0.103098"
"45","45","Main_RecrDev_2009","-0.783472","0.142668"
"46","46","Main_RecrDev_2010","-0.799835","0.135276"
"47","47","Main_RecrDev_2011","-0.590784","0.11816"
"48","48","Main_RecrDev_2012","-0.755232","0.128622"
"49","49","Main_RecrDev_2013","-0.540989","0.118302"
"50","50","Main_RecrDev_2014","-0.508076","0.125314"
"51","51","Main_RecrDev_2015","-0.535131","0.141679"
"52","52","Main_RecrDev_2016","-0.98248","0.205803"
"53","53","Main_RecrDev_2017","-0.425074","0.186196"
