"","Yr","Catch","Catch_std","model"
"1",2023,9071.87,3177.68,"scenario_1"
"2",2024,11385.9,5612.91,"scenario_1"
"3",2025,13255.3,8865.43,"scenario_1"
"4",2026,16776.3,10547.3,"scenario_1"
"5",2027,21795.6,5572.17,"scenario_1"
"6",2028,25911.7,6623.04,"scenario_1"
"7",2029,27791,7170.66,"scenario_1"
"8",2030,28245.7,7392.97,"scenario_1"
"9",2031,28456.5,7467.57,"scenario_1"
"10",2032,28577.8,7489.38,"scenario_1"
"11",2033,28609.6,7495.08,"scenario_1"
"12",2034,28616.5,7496.36,"scenario_1"
"13",2035,28617.5,7496.61,"scenario_1"
"14",2036,28617.6,NA,"scenario_1"
"15",2037,28617.6,3177.68,"scenario_1"
"16",2023,9071.87,3177.68,"scenario_2"
"17",2024,11385.9,5612.91,"scenario_2"
"18",2025,13255.3,8865.43,"scenario_2"
"19",2026,16776.3,10547.3,"scenario_2"
"20",2027,21795.6,5572.17,"scenario_2"
"21",2028,25911.7,6623.04,"scenario_2"
"22",2029,27791,7170.66,"scenario_2"
"23",2030,28245.7,7392.97,"scenario_2"
"24",2031,28456.5,7467.57,"scenario_2"
"25",2032,28577.8,7489.38,"scenario_2"
"26",2033,28609.6,7495.08,"scenario_2"
"27",2034,28616.5,7496.36,"scenario_2"
"28",2035,28617.5,7496.61,"scenario_2"
"29",2036,28617.6,NA,"scenario_2"
"30",2037,28617.6,3177.68,"scenario_2"
"31",2023,8482.66,3107.28,"scenario_3"
"32",2024,10838,5432.36,"scenario_3"
"33",2025,12776.8,8590.83,"scenario_3"
"34",2026,16252.4,10304.2,"scenario_3"
"35",2027,21179.5,5510.82,"scenario_3"
"36",2028,25293.3,6425.42,"scenario_3"
"37",2029,26629.1,6926.15,"scenario_3"
"38",2030,27261.3,7137.75,"scenario_3"
"39",2031,27604.8,7210.61,"scenario_3"
"40",2032,27814,7231.71,"scenario_3"
"41",2033,27896.2,7236.67,"scenario_3"
"42",2034,27930,7237.33,"scenario_3"
"43",2035,27944.8,7237.18,"scenario_3"
"44",2036,27951.6,NA,"scenario_3"
"45",2037,27954.8,3107.28,"scenario_3"
"46",2023,2272.2,1284.19,"scenario_4"
"47",2024,3500.06,2227.49,"scenario_4"
"48",2025,4843.46,1568.36,"scenario_4"
"49",2026,6798.38,2113.76,"scenario_4"
"50",2027,8032.34,2495.01,"scenario_4"
"51",2028,9306.05,2719.83,"scenario_4"
"52",2029,10448.6,2841.12,"scenario_4"
"53",2030,11296.5,2913.27,"scenario_4"
"54",2031,11945,2943.4,"scenario_4"
"55",2032,12448.2,2955.66,"scenario_4"
"56",2033,12768.7,2960.42,"scenario_4"
"57",2034,12973.2,2962.11,"scenario_4"
"58",2035,13103.7,2962.57,"scenario_4"
"59",2036,13187,NA,"scenario_4"
"60",2037,13240.1,1284.19,"scenario_4"
"61",2023,0,0,"scenario_5"
"62",2024,0,0,"scenario_5"
"63",2025,0,0,"scenario_5"
"64",2026,0,0,"scenario_5"
"65",2027,0,0,"scenario_5"
"66",2028,0,0,"scenario_5"
"67",2029,0,0,"scenario_5"
"68",2030,0,0,"scenario_5"
"69",2031,0,0,"scenario_5"
"70",2032,0,0,"scenario_5"
"71",2033,0,0,"scenario_5"
"72",2034,0,0,"scenario_5"
"73",2035,0,0,"scenario_5"
"74",2036,0,NA,"scenario_5"
"75",2037,0,0,"scenario_5"
"76",2023,10908,3438.91,"scenario_6"
"77",2024,12948.4,6189.16,"scenario_6"
"78",2025,14536,9634.95,"scenario_6"
"79",2026,18177.2,11153.4,"scenario_6"
"80",2027,23453.2,11205.9,"scenario_6"
"81",2028,27542.6,11009.1,"scenario_6"
"82",2029,29494.3,10908.7,"scenario_6"
"83",2030,29917.5,10876.2,"scenario_6"
"84",2031,29942.8,10869.7,"scenario_6"
"85",2032,29940.1,10871.9,"scenario_6"
"86",2033,29881,10874.7,"scenario_6"
"87",2034,29850.1,10876.2,"scenario_6"
"88",2035,29841.6,10876.6,"scenario_6"
"89",2036,29841.6,NA,"scenario_6"
"90",2037,29843.2,3438.91,"scenario_6"
"91",2023,9071.87,5393.49,"scenario_7"
"92",2024,11385.9,6729.79,"scenario_7"
"93",2025,15865.7,9708.91,"scenario_7"
"94",2026,18895.9,11125.1,"scenario_7"
"95",2027,23756.8,11187,"scenario_7"
"96",2028,27607.6,11004.5,"scenario_7"
"97",2029,29480.6,10909,"scenario_7"
"98",2030,29896.3,10877.2,"scenario_7"
"99",2031,29931.4,10870.3,"scenario_7"
"100",2032,29936,10872.1,"scenario_7"
"101",2033,29880.4,10874.7,"scenario_7"
"102",2034,29850.5,10876.1,"scenario_7"
"103",2035,29842,10876.6,"scenario_7"
"104",2036,29841.8,NA,"scenario_7"
"105",2037,29843.2,5393.49,"scenario_7"
