Num,Label,Value,Parm_StDev
1,NatM_uniform_Fem_GP_1,0.446334,0.00839416
2,L_at_Amin_Fem_GP_1,9.3879,0.771067
3,L_at_Amax_Fem_GP_1,115.435,0.805757
4,VonBert_K_Fem_GP_1,0.240011,0.00442488
5,SD_young_Fem_GP_1,10,0.000739509
6,SD_old_Fem_GP_1,4.60997,0.294355
7,Wtlen_1_Fem_GP_1,5.61E-06,NA
8,Wtlen_2_Fem_GP_1,3.1756,NA
9,Mat50%_Fem_GP_1,54.9,NA
10,Mat_slope_Fem_GP_1,-0.1472,NA
11,Eggs/kg_inter_Fem_GP_1,1,NA
12,Eggs/kg_slope_wt_Fem_GP_1,0,NA
13,CohortGrowDev,1,NA
14,AgeKeyParm1,3,NA
15,AgeKeyParm2,0,NA
16,AgeKeyParm3,0,NA
17,AgeKeyParm4,0,NA
18,AgeKeyParm5,0.57,NA
19,AgeKeyParm6,1.16,NA
20,AgeKeyParm7,0,NA
21,FracFemale_GP_1,0.5,NA
22,SR_LN(R0),11.1,NA
23,SR_BH_steep,1,NA
24,SR_sigmaR,0.636,NA
25,SR_regime,0,NA
26,SR_autocorr,0,NA
27,Main_RecrDev_1991,-0.00464605,0.112599
28,Main_RecrDev_1992,-0.336399,0.133156
29,Main_RecrDev_1993,0.47204,0.0872454
30,Main_RecrDev_1994,0.153569,0.110795
31,Main_RecrDev_1995,0.0106554,0.110906
32,Main_RecrDev_1996,0.442283,0.0851181
33,Main_RecrDev_1997,0.574529,0.0841234
34,Main_RecrDev_1998,0.0492416,0.100673
35,Main_RecrDev_1999,0.242274,0.0901157
36,Main_RecrDev_2000,0.315991,0.0886428
37,Main_RecrDev_2001,0.209043,0.0958289
38,Main_RecrDev_2002,-0.561235,0.132546
39,Main_RecrDev_2003,-0.27681,0.10481
40,Main_RecrDev_2004,-1.09203,0.175167
41,Main_RecrDev_2005,-0.231815,0.0928537
42,Main_RecrDev_2006,-0.948571,0.140864
43,Main_RecrDev_2007,-0.207165,0.0935171
44,Main_RecrDev_2008,-0.27829,0.103639
45,Main_RecrDev_2009,-0.925694,0.142742
46,Main_RecrDev_2010,-0.960615,0.135996
47,Main_RecrDev_2011,-0.740923,0.11974
48,Main_RecrDev_2012,-0.926735,0.128164
49,Main_RecrDev_2013,-0.721997,0.120258
50,Main_RecrDev_2014,-0.706909,0.126169
51,Main_RecrDev_2015,-0.739116,0.145368
52,Main_RecrDev_2016,-1.20025,0.20371
53,Main_RecrDev_2017,-0.677558,0.184776
54,Late_RecrDev_2018,-0.883262,0.254953
55,Late_RecrDev_2019,-0.633466,0.276078
56,Late_RecrDev_2020,-1.05212,0.390534
57,Late_RecrDev_2021,-0.658895,0.456105
58,Late_RecrDev_2022,0,0.636
59,ForeRecr_2023,0,0.636
60,ForeRecr_2024,0,0.636
61,ForeRecr_2025,0,0.636
62,ForeRecr_2026,0,0.636
63,ForeRecr_2027,0,0.636
64,ForeRecr_2028,0,0.636
65,ForeRecr_2029,0,0.636
66,ForeRecr_2030,0,0.636
67,ForeRecr_2031,0,0.636
68,ForeRecr_2032,0,0.636
69,ForeRecr_2033,0,0.636
70,ForeRecr_2034,0,0.636
71,ForeRecr_2035,0,0.636
72,ForeRecr_2036,0,0.636
73,ForeRecr_2037,0,0.636
74,LnQ_base_Srv(2),-0.0197157,0.00992081
75,Size_DblN_peak_FshComb(1),97.3663,2.32234
76,Size_DblN_top_logit_FshComb(1),0.180293,10.506
77,Size_DblN_ascend_se_FshComb(1),6.6682,0.0719036
78,Size_DblN_descend_se_FshComb(1),-1.0336,149.769
79,Size_DblN_start_logit_FshComb(1),-999,NA
80,Size_DblN_end_logit_FshComb(1),10,NA
81,Size_DblN_peak_Srv(2),65.0904,3.18971
82,Size_DblN_top_logit_Srv(2),-6.86109,195.158
83,Size_DblN_ascend_se_Srv(2),6.8627,0.168879
84,Size_DblN_descend_se_Srv(2),1.90408,42.5478
85,Size_DblN_start_logit_Srv(2),-5.65399,0.621508
86,Size_DblN_end_logit_Srv(2),10,NA
87,Size_DblN_peak_FshComb(1)_dev_se,0.1005,NA
88,Size_DblN_peak_FshComb(1)_dev_autocorr,0,NA
89,Size_DblN_ascend_se_FshComb(1)_dev_se,0.0448,NA
90,Size_DblN_ascend_se_FshComb(1)_dev_autocorr,0,NA
91,Size_DblN_descend_se_FshComb(1)_dev_se,0.1,NA
92,Size_DblN_descend_se_FshComb(1)_dev_autocorr,0,NA
93,Size_DblN_peak_Srv(2)_BLK1repl_1991,60.9403,4.75719
94,Size_DblN_top_logit_Srv(2)_BLK1repl_1991,-1.09088,155.566
95,Size_DblN_ascend_se_Srv(2)_BLK1repl_1991,6.81092,0.232015
96,Size_DblN_descend_se_Srv(2)_BLK1repl_1991,4.85724,122.393
97,Size_DblN_start_logit_Srv(2)_BLK1repl_1991,-11.6371,9.8602
98,Size_DblN_peak_FshComb(1)_DEVmult_1991,-1.33153,0.448981
99,Size_DblN_peak_FshComb(1)_DEVmult_1992,-1.52876,0.424996
100,Size_DblN_peak_FshComb(1)_DEVmult_1993,-0.621985,0.459355
101,Size_DblN_peak_FshComb(1)_DEVmult_1994,-0.763802,0.469604
102,Size_DblN_peak_FshComb(1)_DEVmult_1995,0.509412,0.472174
103,Size_DblN_peak_FshComb(1)_DEVmult_1996,0.212881,0.432655
104,Size_DblN_peak_FshComb(1)_DEVmult_1997,0.567359,0.489966
105,Size_DblN_peak_FshComb(1)_DEVmult_1998,-0.174819,0.479992
106,Size_DblN_peak_FshComb(1)_DEVmult_1999,-0.377569,0.409358
107,Size_DblN_peak_FshComb(1)_DEVmult_2000,0.701479,0.395933
108,Size_DblN_peak_FshComb(1)_DEVmult_2001,-1.57836,0.456923
109,Size_DblN_peak_FshComb(1)_DEVmult_2002,-0.221255,0.390194
110,Size_DblN_peak_FshComb(1)_DEVmult_2003,0.920876,0.400617
111,Size_DblN_peak_FshComb(1)_DEVmult_2004,0.922511,0.454208
112,Size_DblN_peak_FshComb(1)_DEVmult_2005,-0.154188,0.414642
113,Size_DblN_peak_FshComb(1)_DEVmult_2006,0.0394906,0.510027
114,Size_DblN_peak_FshComb(1)_DEVmult_2007,0.414267,0.415979
115,Size_DblN_peak_FshComb(1)_DEVmult_2008,0.791864,0.452511
116,Size_DblN_peak_FshComb(1)_DEVmult_2009,0.54456,0.472378
117,Size_DblN_peak_FshComb(1)_DEVmult_2010,1.08123,0.439332
118,Size_DblN_peak_FshComb(1)_DEVmult_2011,0.677261,0.500182
119,Size_DblN_peak_FshComb(1)_DEVmult_2012,0.0724796,0.622123
120,Size_DblN_peak_FshComb(1)_DEVmult_2013,0.630319,0.489981
121,Size_DblN_peak_FshComb(1)_DEVmult_2014,0.883835,0.520128
122,Size_DblN_peak_FshComb(1)_DEVmult_2015,1.21106,0.554277
123,Size_DblN_peak_FshComb(1)_DEVmult_2016,0.701884,0.543348
124,Size_DblN_peak_FshComb(1)_DEVmult_2017,0.416027,0.514035
125,Size_DblN_peak_FshComb(1)_DEVmult_2018,-0.477948,0.573993
126,Size_DblN_peak_FshComb(1)_DEVmult_2019,-0.635434,0.583762
127,Size_DblN_peak_FshComb(1)_DEVmult_2020,-2.26038,0.423307
128,Size_DblN_peak_FshComb(1)_DEVmult_2021,-1.36077,0.645302
129,Size_DblN_peak_FshComb(1)_DEVmult_2022,0.188411,0.70734
130,Size_DblN_ascend_se_FshComb(1)_DEVmult_1991,-0.893246,0.743507
131,Size_DblN_ascend_se_FshComb(1)_DEVmult_1992,-0.89154,0.662863
132,Size_DblN_ascend_se_FshComb(1)_DEVmult_1993,-0.0778692,0.613517
133,Size_DblN_ascend_se_FshComb(1)_DEVmult_1994,-0.290022,0.651904
134,Size_DblN_ascend_se_FshComb(1)_DEVmult_1995,0.655441,0.545079
135,Size_DblN_ascend_se_FshComb(1)_DEVmult_1996,0.456648,0.506959
136,Size_DblN_ascend_se_FshComb(1)_DEVmult_1997,0.331592,0.587181
137,Size_DblN_ascend_se_FshComb(1)_DEVmult_1998,0.254025,0.529739
138,Size_DblN_ascend_se_FshComb(1)_DEVmult_1999,-0.405388,0.508022
139,Size_DblN_ascend_se_FshComb(1)_DEVmult_2000,0.886607,0.414408
140,Size_DblN_ascend_se_FshComb(1)_DEVmult_2001,-1.0385,0.604419
141,Size_DblN_ascend_se_FshComb(1)_DEVmult_2002,-0.762026,0.526136
