"","Yr","TOT","SUMM","SSB","std","F","Catch","SSB_unfished","model"
"1",1991,258085,258085,107473,4612.78,0.0453471,9797.54,108231,"scenario_1"
"2",1992,249261,249261,100660,4623.55,0.219627,43067.8,108231,"scenario_1"
"3",1993,212237,212237,84217.5,4595.08,0.218169,34204.7,108231,"scenario_1"
"4",1994,188921,188921,74518.5,4449.375,0.151123,21539.1,108231,"scenario_1"
"5",1995,182316,182316,71490,4114.615,0.140895,16534.1,108231,"scenario_1"
"6",1996,186817,186817,69991.5,3783.69,0.27891,31609.1,108231,"scenario_1"
"7",1997,180810,180810,67675,3566.18,0.257012,25164,108231,"scenario_1"
"8",1998,184307,184307,68456,3444.065,0.291389,34726.3,108231,"scenario_1"
"9",1999,184235,184235,66696,3395.265,0.244759,28130.4,108231,"scenario_1"
"10",2000,193819,193819,69229.5,3535.695,0.401714,39684.6,108231,"scenario_1"
"11",2001,191176,191176,70714,3656.83,0.226094,34207.3,108231,"scenario_1"
"12",2002,189257,189257,71128,3670.01,0.264596,30800.9,108231,"scenario_1"
"13",2003,189205,189205,70828,3634.035,0.354931,32456.7,108231,"scenario_1"
"14",2004,183516,183516,70146,3477.17,0.280132,28873.1,108231,"scenario_1"
"15",2005,174159,174159,69388.5,3210.36,0.190543,22693.6,108231,"scenario_1"
"16",2006,163615,163615,66373.5,2874.685,0.203139,24211.4,108231,"scenario_1"
"17",2007,146578,146578,58536,2513.815,0.361793,34354.6,108231,"scenario_1"
"18",2008,119623,119623,46019.2,2172.79,0.442138,31228.7,108231,"scenario_1"
"19",2009,99061.8,99061.8,36648.35,1923.3,0.51615,28581.7,108231,"scenario_1"
"20",2010,85856.1,85856.1,29565.05,1799.435,0.781665,29006,108231,"scenario_1"
"21",2011,75465.2,75465.2,26526,1729.015,0.314985,10888.6,108231,"scenario_1"
"22",2012,80211.7,80211.7,29607,1784.575,0.393852,18220,108231,"scenario_1"
"23",2013,75052.9,75052.9,28676.25,1826.225,0.367777,13612.3,108231,"scenario_1"
"24",2014,72298.5,72298.5,27688.05,1828.755,0.312969,10583.2,108231,"scenario_1"
"25",2015,72139.1,72139.1,27612.55,1820.09,0.225708,9209.56,108231,"scenario_1"
"26",2016,73494.8,73494.8,27457.35,1804.365,0.348928,13231.8,108231,"scenario_1"
"27",2017,72735,72735,26485.75,1838.875,0.371214,15170.3,108231,"scenario_1"
"28",2018,70578.8,70578.8,25265.55,1978.395,0.447495,20414.3,108231,"scenario_1"
"29",2019,63290.4,63290.4,22371.9,2226.68,0.491868,19186.9,108231,"scenario_1"
"30",2020,58812.9,58812.9,20119.2,2492.955,0.333029,14249.9,108231,"scenario_1"
"31",2021,60872.8,60872.8,20525.95,2731.32,0.33766,13966.1,108231,"scenario_1"
"32",2022,64028.4,64028.4,22085.35,2897.935,0.306531,10547.1,108231,"scenario_1"
"33",2023,69619.3,69619.3,25313.2,3150.065,0.235291,9071.87,108231,"scenario_1"
"34",2024,77507.2,77507.2,27978.05,3144.195,0.26296,11385.9,108231,"scenario_1"
"35",2025,87477.9,87477.9,30012.3,3689.045,0.284453,13255.3,108231,"scenario_1"
"36",2026,100183,100183,33998.15,5985.45,0.327104,16776.3,108231,"scenario_1"
"37",2027,112444,112444,38847.7,8207.4,0.379213,21795.6,108231,"scenario_1"
"38",2028,120471,120471,42213.6,8866.6,0.415667,25911.7,108231,"scenario_1"
"39",2029,124292,124292,43870.3,9157.65,0.427424,27791,108231,"scenario_1"
"40",2030,125586,125586,44455,10693.3,0.427424,28245.7,108231,"scenario_1"
"41",2031,126223,126223,44738.1,11441.5,0.427424,28456.5,108231,"scenario_1"
"42",2032,126627,126627,44916.15,11733.8,0.427424,28577.8,108231,"scenario_1"
"43",2033,126735,126735,44963.7,11831.1,0.427424,28609.6,108231,"scenario_1"
"44",2034,126759,126759,44974.1,11860.05,0.427424,28616.5,108231,"scenario_1"
"45",2035,126763,126763,44975.75,11867.9,0.427424,28617.5,108231,"scenario_1"
"46",2036,126763,126763,44975.9,11869.8,0.427424,28617.6,108231,"scenario_1"
"47",2037,126763,126763,44975.9,11870.25,0.427424,28617.6,108231,"scenario_1"
"48",1991,258085,258085,107473,4612.78,0.0453471,9797.54,108231,"scenario_2"
"49",1992,249261,249261,100660,4623.55,0.219627,43067.8,108231,"scenario_2"
"50",1993,212237,212237,84217.5,4595.08,0.218169,34204.7,108231,"scenario_2"
"51",1994,188921,188921,74518.5,4449.375,0.151123,21539.1,108231,"scenario_2"
"52",1995,182316,182316,71490,4114.615,0.140895,16534.1,108231,"scenario_2"
"53",1996,186817,186817,69991.5,3783.69,0.27891,31609.1,108231,"scenario_2"
"54",1997,180810,180810,67675,3566.18,0.257012,25164,108231,"scenario_2"
"55",1998,184307,184307,68456,3444.065,0.291389,34726.3,108231,"scenario_2"
"56",1999,184235,184235,66696,3395.265,0.244759,28130.4,108231,"scenario_2"
"57",2000,193819,193819,69229.5,3535.695,0.401714,39684.6,108231,"scenario_2"
"58",2001,191176,191176,70714,3656.83,0.226094,34207.3,108231,"scenario_2"
"59",2002,189257,189257,71128,3670.01,0.264596,30800.9,108231,"scenario_2"
"60",2003,189205,189205,70828,3634.035,0.354931,32456.7,108231,"scenario_2"
"61",2004,183516,183516,70146,3477.17,0.280132,28873.1,108231,"scenario_2"
"62",2005,174159,174159,69388.5,3210.36,0.190543,22693.6,108231,"scenario_2"
"63",2006,163615,163615,66373.5,2874.685,0.203139,24211.4,108231,"scenario_2"
"64",2007,146578,146578,58536,2513.815,0.361793,34354.6,108231,"scenario_2"
"65",2008,119623,119623,46019.2,2172.79,0.442138,31228.7,108231,"scenario_2"
"66",2009,99061.8,99061.8,36648.35,1923.3,0.51615,28581.7,108231,"scenario_2"
"67",2010,85856.1,85856.1,29565.05,1799.435,0.781665,29006,108231,"scenario_2"
"68",2011,75465.2,75465.2,26526,1729.015,0.314985,10888.6,108231,"scenario_2"
"69",2012,80211.7,80211.7,29607,1784.575,0.393852,18220,108231,"scenario_2"
"70",2013,75052.9,75052.9,28676.25,1826.225,0.367777,13612.3,108231,"scenario_2"
"71",2014,72298.5,72298.5,27688.05,1828.755,0.312969,10583.2,108231,"scenario_2"
"72",2015,72139.1,72139.1,27612.55,1820.09,0.225708,9209.56,108231,"scenario_2"
"73",2016,73494.8,73494.8,27457.35,1804.365,0.348928,13231.8,108231,"scenario_2"
"74",2017,72735,72735,26485.75,1838.875,0.371214,15170.3,108231,"scenario_2"
"75",2018,70578.8,70578.8,25265.55,1978.395,0.447495,20414.3,108231,"scenario_2"
"76",2019,63290.4,63290.4,22371.9,2226.68,0.491868,19186.9,108231,"scenario_2"
"77",2020,58812.9,58812.9,20119.2,2492.955,0.333029,14249.9,108231,"scenario_2"
"78",2021,60872.8,60872.8,20525.95,2731.32,0.33766,13966.1,108231,"scenario_2"
"79",2022,64028.4,64028.4,22085.35,2897.935,0.306531,10547.1,108231,"scenario_2"
"80",2023,69619.3,69619.3,25313.2,3150.065,0.235291,9071.87,108231,"scenario_2"
"81",2024,77507.2,77507.2,27978.05,3144.195,0.26296,11385.9,108231,"scenario_2"
"82",2025,87477.9,87477.9,30012.3,3689.045,0.284453,13255.3,108231,"scenario_2"
"83",2026,100183,100183,33998.15,5985.45,0.327104,16776.3,108231,"scenario_2"
"84",2027,112444,112444,38847.7,8207.4,0.379213,21795.6,108231,"scenario_2"
"85",2028,120471,120471,42213.6,8866.6,0.415667,25911.7,108231,"scenario_2"
"86",2029,124292,124292,43870.3,9157.65,0.427424,27791,108231,"scenario_2"
"87",2030,125586,125586,44455,10693.3,0.427424,28245.7,108231,"scenario_2"
"88",2031,126223,126223,44738.1,11441.5,0.427424,28456.5,108231,"scenario_2"
"89",2032,126627,126627,44916.15,11733.8,0.427424,28577.8,108231,"scenario_2"
"90",2033,126735,126735,44963.7,11831.1,0.427424,28609.6,108231,"scenario_2"
"91",2034,126759,126759,44974.1,11860.05,0.427424,28616.5,108231,"scenario_2"
"92",2035,126763,126763,44975.75,11867.9,0.427424,28617.5,108231,"scenario_2"
"93",2036,126763,126763,44975.9,11869.8,0.427424,28617.6,108231,"scenario_2"
"94",2037,126763,126763,44975.9,11870.25,0.427424,28617.6,108231,"scenario_2"
"95",1991,258085,258085,107473,4612.78,0.0453471,9797.54,108231,"scenario_3"
"96",1992,249261,249261,100660,4623.55,0.219627,43067.8,108231,"scenario_3"
"97",1993,212237,212237,84217.5,4595.08,0.218169,34204.7,108231,"scenario_3"
"98",1994,188921,188921,74518.5,4449.375,0.151123,21539.1,108231,"scenario_3"
"99",1995,182316,182316,71490,4114.615,0.140895,16534.1,108231,"scenario_3"
"100",1996,186817,186817,69991.5,3783.69,0.27891,31609.1,108231,"scenario_3"
"101",1997,180810,180810,67675,3566.18,0.257012,25164,108231,"scenario_3"
"102",1998,184307,184307,68456,3444.065,0.291389,34726.3,108231,"scenario_3"
"103",1999,184235,184235,66696,3395.265,0.244759,28130.4,108231,"scenario_3"
"104",2000,193819,193819,69229.5,3535.695,0.401714,39684.6,108231,"scenario_3"
"105",2001,191176,191176,70714,3656.83,0.226094,34207.3,108231,"scenario_3"
"106",2002,189257,189257,71128,3670.01,0.264596,30800.9,108231,"scenario_3"
"107",2003,189205,189205,70828,3634.035,0.354931,32456.7,108231,"scenario_3"
"108",2004,183516,183516,70146,3477.17,0.280132,28873.1,108231,"scenario_3"
"109",2005,174159,174159,69388.5,3210.36,0.190543,22693.6,108231,"scenario_3"
"110",2006,163615,163615,66373.5,2874.685,0.203139,24211.4,108231,"scenario_3"
"111",2007,146578,146578,58536,2513.815,0.361793,34354.6,108231,"scenario_3"
"112",2008,119623,119623,46019.2,2172.79,0.442138,31228.7,108231,"scenario_3"
"113",2009,99061.8,99061.8,36648.35,1923.3,0.51615,28581.7,108231,"scenario_3"
"114",2010,85856.1,85856.1,29565.05,1799.435,0.781665,29006,108231,"scenario_3"
"115",2011,75465.2,75465.2,26526,1729.015,0.314985,10888.6,108231,"scenario_3"
"116",2012,80211.7,80211.7,29607,1784.575,0.393852,18220,108231,"scenario_3"
"117",2013,75052.9,75052.9,28676.25,1826.225,0.367777,13612.3,108231,"scenario_3"
"118",2014,72298.5,72298.5,27688.05,1828.755,0.312969,10583.2,108231,"scenario_3"
