"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2022,22085.35,22085.35,22085.35,22085.35,22085.35,22085.35,22085.35
"2",2023,25313.2,25313.2,25357.2,25800.85,25954.55,25173.7,25313.2
"3",2024,27978.05,27978.05,28259.95,31342.25,32523.25,27110.75,27978.05
"4",2025,30012.3,30012.3,30493.35,36435.9,39090.4,28590.45,30012.3
"5",2026,33998.15,33998.15,34622.65,43263.55,47768.35,32209.25,33998.15
"6",2027,38847.7,38847.7,39620.1,51412.5,58302.5,36676.7,38847.7
"7",2028,42213.6,42213.6,43148.1,59125,68547,39615.6,42213.6
"8",2029,43870.3,43870.3,45000.25,65695.5,77805.5,40875.8,43870.3
"9",2030,44455,44455,45908.35,70454.5,85013.5,41119.05,44455
"10",2031,44738.1,44738.1,46416.35,74112.5,91013,41126,44738.1
"11",2032,44916.15,44916.15,46741.55,76999.5,96122,41125.85,44916.15
"12",2033,44963.7,44963.7,46869.25,78838.5,99714.5,41088.45,44963.7
"13",2034,44974.1,44974.1,46921.45,80012,102241.5,41068.9,44974.1
"14",2035,44975.75,44975.75,46944.2,80760.5,104018.5,41063.6,44975.75
"15",2036,44975.9,44975.9,46954.75,81238,105268.5,41063.7,44975.9
"16",2037,44975.9,44975.9,46959.7,81543,106147.5,41064.7,44975.9
