"","type","peel","Rho","ForcastRho"
"1","SSB","2021",1.09434729958828,1.38713075657339
"2","SSB","2020",0.811184647899902,1.05343908936789
"3","SSB","2019",0.605110391337683,0.763990732380111
"4","SSB","2018",0.406787125672225,0.59725100198273
"5","SSB","2017",0.31376098260041,0.483496299924359
"6","SSB","2016",0.1849198607277,0.327320883259929
"7","SSB","2015",0.105449677114506,0.243497530639365
"8","SSB","2014",-0.00774343179919456,0.0925557353341257
"9","SSB","2013",-0.153550452168901,-0.0679255903765549
"10","SSB","2012",-0.201682372234391,-0.164271452292407
"11","SSB","Combined",0.315858372873822,0.471648498679294
"12","F","2021",-0.530128026718619,-0.608313981516783
"13","F","2020",-0.471587019862736,-0.392081825772335
"14","F","2019",-0.389643459993974,-0.246585051156085
"15","F","2018",-0.229921568895917,-0.277784656274634
"16","F","2017",-0.141571748637352,-0.199660443750727
"17","F","2016",0.0182489956988102,-0.250268661994204
"18","F","2015",0.133770884679802,-0.305334185288393
"19","F","2014",0.655128674634617,-0.189032167286229
"20","F","2013",0.622271461165646,-0.227665878749542
"21","F","2012",0.610530975825709,-0.0676978217492994
"22","F","Combined",0.0277099167895986,-0.276442467353823
