"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2022,10547.1,10547.1,10547.1,10547.1,10547.1,10547.1,10547.1
"2",2023,9071.87,9071.87,8482.66,2272.2,0,10908,9071.87
"3",2024,11385.9,11385.9,10838,3500.06,0,12948.4,11385.9
"4",2025,13255.3,13255.3,12776.8,4843.46,0,14536,13255.3
"5",2026,16776.3,16776.3,16252.4,6798.38,0,18177.2,16776.3
"6",2027,21795.6,21795.6,21179.5,8032.34,0,23453.2,21795.6
"7",2028,25911.7,25911.7,25293.3,9306.05,0,27542.6,25911.7
"8",2029,27791,27791,26629.1,10448.6,0,29494.3,27791
"9",2030,28245.7,28245.7,27261.3,11296.5,0,29917.5,28245.7
"10",2031,28456.5,28456.5,27604.8,11945,0,29942.8,28456.5
"11",2032,28577.8,28577.8,27814,12448.2,0,29940.1,28577.8
"12",2033,28609.6,28609.6,27896.2,12768.7,0,29881,28609.6
"13",2034,28616.5,28616.5,27930,12973.2,0,29850.1,28616.5
"14",2035,28617.5,28617.5,27944.8,13103.7,0,29841.6,28617.5
"15",2036,28617.6,28617.6,27951.6,13187,0,29841.6,28617.6
"16",2037,28617.6,28617.6,27954.8,13240.1,0,29843.2,28617.6
