"","Estimate","Interval"
"Unfished Spawning Biomass (mt)","219,576","200,448–238,704"
"Unfished Age 1+ Biomass (mt)","261,521","239,671–283,371"
"Unfished Recruitment (R0)","32,286","25,411–39,162"
"Spawning Biomass (mt) (2023)","51,284","38,936–63,631"
"Fraction Unfished (2023)","0.23","0.18–0.29"
"Reference Points Based SB40%","",""
"Proxy Spawning Biomass (mt) SB40%","87,830","80,179–95,482"
"SPR Resulting in SB40%","0.400","0.400–0.400"
"Exploitation Rate Resulting in SB40%","0.419","0.350–0.487"
"Yield with SPR Based On SB40% (mt)","29,219","25,843–32,594"
"Reference Points Based on SPR Proxy for MSY","",""
"Proxy Spawning Biomass (mt) (SPR40)","87,830","80,179–95,482"
"SPR40","0.400"," - "
"Exploitation Rate Corresponding to SPR40","0.419","0.350–0.487"
"Yield with SPR40 at SB SPR (mt)","29,219","25,843–32,594"
"Reference Points Based on Estimated MSY Values","",""
"Spawning Biomass (mt) at MSY (SB MSY)","87,830","80,179–95,482"
"SPR MSY","0.400","0.400–0.400"
"Exploitation Rate Corresponding to SPR MSY","0.419","0.350–0.487"
"MSY (mt)","29,219","25,843–32,594"
