"Quantity","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","13612.3","10583.2","9209.56","13231.8","15170.3","20414.3","19186.9","14249.9","13966.1","11138.3","NA"
"1-SPR","0.48","0.42","0.40","0.48","0.55","0.67","0.67","0.63","0.62","0.52","NA"
"Fill in F method","0.35","0.30","0.22","0.34","0.36","0.44","0.48","0.33","0.33","0.32","NA"
"Age 1+ Biomass (mt)","75,946","73,032","72,720","73,853","72,834","70,546","63,238","58,865","61,028","64,294","186,772"
"Spawning Biomass (mt)","58,297","56,138","55,871","55,460","53,312","50,634","44,736","40,312","41,290","44,425","51,284"
"Interval","51,120–65,473","48,970–63,306","48,751–62,991","48,412–62,508","46,143–60,480","42,944–58,324","36,068–53,405","30,534–50,090","30,515–52,065","32,986–55,865","38,936–63,631"
"Recruits","15,710","16,980","17,285","11,558","21,106","17,487","22,867","13,117","18,005","32,286","32,286"
"Interval","12,083–20,426","12,932–22,296","12,851–23,250","7,636–17,492","14,561–30,594","10,401–29,401","13,256–39,447","6,101–28,201","7,512–43,158","10,159–102,611","10,159–102,611"
"Fraction Unfished","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"Interval","0.2–0.3","0.2–0.3","0.2–0.3","0.2–0.3","0.2–0.3","0.2–0.3","0.2–0.2","0.1–0.2","0.1–0.2","0.1–0.3","0.2–0.3"
