"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10"
1991,0,31354.3,22060.5,15521.4,10920.7,7683.64,5406.11,3803.66,2676.21,1882.94,4469.47
1992,0,36352.7,22058.6,15491.5,10799.2,7477.65,5197.76,3641.1,2559.87,1800.96,4274.87
1993,0,20936.5,25564.1,15349.8,10258.3,6602.62,4327.65,2957.07,2066.37,1452.49,3447.46
1994,0,50573.7,14724.4,17842.2,10331.3,6460.76,3915.05,2488.58,1685.26,1175.78,2787.55
1995,0,34662.9,35575.2,10308.7,12181.9,6724.08,4029.19,2393.14,1513.47,1024.16,2408.4
1996,0,31870.1,24384.8,24963.2,7139.94,8198.94,4369.7,2545.04,1486.38,932.872,2108.25
1997,0,51232.3,22415.7,17055.3,16982.2,4578.59,4901.91,2472.72,1395.79,804.294,1636.15
1998,0,54054.4,36041.2,15722.7,11753.1,11198,2843.15,2883.96,1403.39,777.363,1344.23
1999,0,32728.8,38015.1,25149.2,10556.1,7310.18,6433.84,1553.66,1544.18,747.307,1128.4
2000,0,39414.3,23023.5,26626,17146.9,6765.14,4366.61,3667.13,868.317,858.356,1041.4
2001,0,40614.9,27714.6,16061.4,17932.8,10738.6,3874.2,2314.36,1844.77,424.341,911.552
2002,0,35340.7,28564.8,19292.6,10589.8,10832.9,6148.56,2189.36,1306.14,1041.05,753.882
2003,0,16831,24863.2,20039.1,13237.8,6841.5,6478.06,3473.98,1205.02,713.145,978.115
2004,0,22796.3,11840.4,17439.4,13796,8670.65,4162.75,3663.6,1859.05,623.127,852.038
2005,0,10770.8,16032.7,8283,11910.8,8963.21,5295.52,2409.34,2044.64,1016.69,796.244
2006,0,25408.3,7577.47,11249,5704.38,7832.88,5578.47,3173.04,1420.26,1199.73,1062.68
2007,0,12409.4,17870.8,5299.02,7653.85,3679.86,4783.5,3290.81,1845.49,822.858,1309.69
2008,0,25489.5,8727.58,12479.9,3567.39,4760.67,2085.34,2525,1671.87,923.501,1061.23
2009,0,22852.2,17923.9,6084.73,8351.1,2188.48,2628.81,1056.13,1212.54,782.52,917.361
2010,0,11918.1,16071,12495,4045.03,4989.26,1147.33,1242.19,470.412,526.692,731.03
2011,0,11724.7,8381.06,11196.3,8266.19,2363.01,2461.38,484.346,469.992,167.189,428.861
2012,0,14450.7,8248.61,5882.31,7721.39,5421.81,1439.47,1399.46,262.948,249.159,311.77
2013,0,12259.4,10166.1,5778.06,3982.04,4765.07,2980.76,730.188,686.105,127.72,271.913
2014,0,15256.8,8625.18,7139.72,3992.84,2609.25,2865.69,1647.48,380.759,347.08,198.767
2015,0,16490.3,10734.2,6061.95,4966.88,2679.16,1642.96,1683.33,916.253,204.703,287.088
2016,0,16786.1,11596.3,7508.58,4155.05,3274.2,1685.08,991.396,986.128,527.12,278.894
2017,0,11223.8,11809.6,8139.95,5176.26,2712.87,1967.4,935.243,521.243,504.015,406.227
2018,0,20497,7894.06,8251.66,5492.3,3230.9,1539.76,1035.07,471.058,257.644,446.578
2019,0,16982.3,14408.6,5461.89,5296.05,3073.51,1596.89,714.543,471.587,213.927,319.685
2020,0,22206.8,11943.8,10024.7,3548.31,2962.17,1480.63,711.175,311.036,204.476,231.258
2021,0,12738.5,15619.3,8296.86,6423.67,1978.3,1524.69,749.804,359.688,157.305,220.371
2022,0,17485.6,8957.67,10842.9,5383.49,3698.35,1039.67,775.549,379.266,181.844,190.933
2023,0,31354.3,12298.9,6264.06,7344.11,3394.32,2139.44,562.889,405.17,195.382,191.094
2024,0,31354.3,22058.5,8638.04,4359.05,5006.94,2258.82,1397.4,363.694,260.432,247.714
2025,0,31354.3,22056.8,15468.9,5954.26,2892.17,3175.73,1383.74,838.927,216.24,300.543
2026,0,31354.3,22055.6,15451.7,10594.5,3878.52,1775.68,1862.73,790.387,473.139,289.366
2027,0,31354.3,22054,15429.5,10491.8,6732.88,2279.64,982.613,995.312,415.299,397.193
2028,0,31354.3,22052.4,15406.4,10384.5,6501,3784.17,1188.34,490.304,486.34,392.517
2029,0,31354.3,22051.6,15393.8,10321,6349.6,3569.09,1911.77,572.045,230.623,408.321
2030,0,31354.3,22051.6,15393.2,10312.5,6310.77,3485.97,1803.11,920.292,269.071,296.53
2031,0,31354.3,22051.6,15393.2,10312.1,6305.6,3464.65,1761.12,867.985,432.875,262.665
2032,0,31354.3,22051.6,15393.2,10312.1,6305.36,3461.82,1750.35,847.771,408.272,323.277
2033,0,31354.3,22051.6,15393.2,10312.1,6305.36,3461.68,1748.92,842.587,398.764,339.89
2034,0,31354.3,22051.6,15393.2,10312.1,6305.36,3461.68,1748.85,841.897,396.325,343.155
2035,0,31354.3,22051.6,15393.2,10312.1,6305.36,3461.68,1748.85,841.865,396.001,343.531
2036,0,31354.3,22051.6,15393.2,10312.1,6305.36,3461.68,1748.85,841.865,395.986,343.555
2037,0,31354.3,22051.6,15393.2,10312.1,6305.36,3461.68,1748.85,841.865,395.986,343.558
