"","Year","Seas","FltSrv","Gender","Part","Nsamp","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143"
"1",1993,0,1,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102416908577461,0.000311333760934706,0.000236231584243865,0.000185699438770776,0.000300289345376399,0.000269185427087156,0.000168536311670514,0.000331643118323926,0.000263808887530701,0.000277825402089538,7.54283831088521e-05,0.00052418123700843,0.000422982253802694,0.000532692133474856,0.000948218787225516,0.000639900738717444,0.000620218490466437,0.00053777537924496,0.000771808283788903,0.000610904289265821,0.00129023455565622,0.00157238462608465,0.00268728272618628,0.00251236423189415,0.00255203514738194,0.00596359349011911,0.00612546890515302,0.00433553208395016,0.00447795283565328,0.00347857520537736,0.0057324005068612,0.00843366352672796,0.006591570915638,0.00827256423513647,0.00422680940167232,0.00864008188710955,0.0105463759598078,0.0106556850234309,0.0118525469088843,0.0119783754117213,0.0130110911934031,0.00993709747195002,0.016182525712592,0.00941250917517986,0.0135993599280408,0.00930709308126986,0.0136763740895118,0.00964313134251424,0.0126130203635541,0.0235932076034883,0.0155481820575695,0.0185109095867821,0.0203855061445734,0.0321497180056846,0.0287467398335748,0.0316562542590194,0.0389533846141621,0.0360449182660102,0.0326969071231552,0.0257102047094338,0.0304214636114718,0.0288663441563101,0.023116863062011,0.0235265654555271,0.0268779349486512,0.0287684139821725,0.0283742661397619,0.0266361440567515,0.0236287498513045,0.0289900970168459,0.0281613887308264,0.0246741526262426,0.0176963949073615,0.023650307208052,0.0104669237560445,0.0189950890754658,0.0212302949013777,0.0103056952581667,0.00791207478767975,0.00432778784243576,0.00318938344773466,0.00383640250245343,0.00336609048005482,0.000384163910809539,0.00190115251628418,0.00239586431642877,0.00602302573278493,0.000795131906045545,4.71215063199609e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1994,0,1,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000313044524752837,0,0.000156522262376418,0,0,0.000156522262376418,0,0,0,0,0,0,0,0,0,0.000231560017992874,0,0.000231560017992874,0,0,0,9.76698224387683e-06,0,0,9.76698224387683e-06,1.95339644877537e-05,0.000147714025173411,0.000498424734579814,0.000124521302765946,0.000888121978180486,0.000397420915845364,0.000314158185498006,0.00091126237737111,0.000522825470547333,0.000311385283491272,0.00124017891811973,0.00181412577191733,0.00119320131024501,0.00185961517936835,0.00274290582098659,0.00364788884746221,0.00278532343063643,0.00548637692030109,0.00981781934743723,0.00830601113293486,0.00975086216354671,0.0121723819390581,0.016471603457949,0.0146790262607834,0.0122537314392994,0.0161867344934184,0.0176829925974125,0.0140298801842994,0.0214980977238533,0.0166235321087383,0.0128526334113824,0.0246594112426087,0.0188792619160621,0.0248954123635672,0.0244949726422889,0.0245823682226524,0.0234841953377652,0.0209858489180069,0.019576046994073,0.0220068481158045,0.0246258985086128,0.0293600594392549,0.0330356003396661,0.0287025737043152,0.0202410397168851,0.0228740651294364,0.0293707822809517,0.0299922641462881,0.0257671442314279,0.0311681506220515,0.0376445521667503,0.0292148194351632,0.0220886478903419,0.0262262125764539,0.0224186048859805,0.0249814423000445,0.0172217847342035,0.0191102583651263,0.0199188132258572,0.0205026441251569,0.0201110459053658,0.00940328818711465,0.0075008098614813,0.00919560016348891,0.0065622052205627,0.00478859589013758,0.00713444954784628,0.00215860525036765,0.00147700811512552,0.00105952083257346,0.00190656232109185,0.000334244843172691,0.000941266937104802,0.000422190075719379,9.77721865394976e-05,0.000136463782001372,0.000401613556440282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1995,0,1,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000173657933413662,0.000105726691936058,0.000582267098685449,0.00159353829446514,0.00193110454129137,0.00306084150934543,0.0036110970091087,0.00579568076492198,0.00577475501392351,0.00562578081885955,0.00612211494237731,0.00852893680958615,0.00555103281823452,0.00381668052177159,0.00311845668249195,0.00214508141828312,0.00123970255692348,0.000619404017115783,0.00119573828496877,0.000936009366437734,0.000943795668052392,0.000537781931524254,0.00201658500022665,0.000447116740713549,0.0008496204576034,0.000555107528683642,0.0007331162573907,0.00156294103485991,0.000616319726783069,0.000429200768041357,0.000699469636056017,0.000902083449689805,0.000436511699317758,0.00222705008260754,0.00124694486060595,0.00368505183057467,0.00274818808068362,0.0039075656620726,0.00371753748987465,0.00683216791986425,0.00294077269656607,0.00633507916314937,0.00676284982813787,0.00914442155172799,0.00733133073316629,0.00852415879691902,0.0085199868663849,0.0121765180170115,0.00982804690197751,0.0152252267708518,0.0144742050189216,0.0170686351816459,0.0172981339118227,0.0216686326494775,0.0279036459672578,0.0241646755017617,0.0221719425032132,0.0269601540066852,0.0225267687010641,0.0330980648383292,0.0246991340781442,0.0249989452831535,0.0194567458769543,0.020460837425003,0.0273141345625736,0.0224480521485415,0.0177531087255588,0.0220064405322021,0.0219834557734606,0.0305201471249725,0.017371272055147,0.0183037599367571,0.0212804798606844,0.0191695910409782,0.0188299747097047,0.0221638625480009,0.0216137887078358,0.0170086508735378,0.0224388976642091,0.0253272887571355,0.0161323832898596,0.018919628221895,0.0115232969828603,0.0114646087740273,0.0161612649482222,0.0114649931079476,0.00863752287551513,0.00986518079592727,0.0106891777830997,0.0158910656608964,0.00361872464760473,0.00944630477918065,0.00206700269213503,0.0033253176825054,0.00231886531831288,0.0020347430798855,0.000273169575066317,0,0.000273169575066317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1996,0,1,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000613612010005314,0,0,0.000923813932968694,0,0.000901031336937509,0.00168698974641351,0.00515869159258563,0.00118557372759317,0.00297912343509893,0.00133371005753395,0.000954249028338891,0.00397305590482872,0.00104287365204283,0.00114430293707178,0.00518234604034034,0.00321625364948213,0.0034278549439968,0.00445829296921396,0.00401384951721418,0.00244891315635923,0.00374214607821981,0.0036275485907712,0.00499126919192699,0.00336446394970066,0.00341430874966143,0.00318375537840734,0.00195918106732222,0.00263397680761287,0.00239519963800205,0.00394781752799961,0.00678198047659412,0.00372799074545364,0.002827033726425,0.0026426794469674,0.00553184945130296,0.00441506352046088,0.00526734417780585,0.00545831602296235,0.00354028943285722,0.00681492806495932,0.00740678742858859,0.00506543999077156,0.00873167099140851,0.00690585506688623,0.00912137621846541,0.00943054465022425,0.00739342397205507,0.0115977486461577,0.0105005417811378,0.0129900765343656,0.01400485472756,0.0133488952688252,0.0221201347617799,0.0207681319455908,0.0182907615880064,0.0163394057266274,0.0249335230936948,0.0281937986153252,0.0313414824497533,0.0294410066032705,0.0271317746336332,0.0294158249937525,0.0382313529733977,0.0401106695978576,0.0317656048480369,0.0248279259702016,0.0308174158989337,0.0393167900339245,0.0273545137638079,0.029488237777184,0.0292003613649493,0.0266889437732938,0.0209008423592086,0.0176363236665297,0.0207849558508296,0.0180230284866907,0.0160476409051108,0.0189460183567824,0.0123609390309774,0.00768177452577423,0.00903839130472482,0.00842727119490668,0.00904566186606978,0.00516140182735083,0.00516900473066303,0.00404515877607382,0.00435471336988612,0.00448234644528463,0.00249538469528589,0.00412457139903115,0.00112349130654676,0.000805004751209512,0.000107597410844674,0.00027270994358994,0.000134951842634031,0,0,0,0.000195403355732367,0,0.000264569728229973,0.000298079160504371,0.000437462258051504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000448746078571424,0,0,0
"5",1997,0,1,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142792262707547,4.70547579515756e-05,0,0.000983905478365627,0.000115044620985266,0.000559887173517958,0.000380906218440596,0.00029796708923717,0.000202780939026413,0.000183200904767097,0.000718941731786653,6.04994616184642e-05,0.000320751311421365,0.000266444840035023,0.000173323408364955,0.000293565168621655,0.000238453395684678,0.000356062599053376,0.000407805639896266,0.000140083500105192,0.000880192498547839,0.000389196766671187,0.00311670488917601,0.00211150234799616,0.00133761864929111,0.00237039437908376,0.00272178077342866,0.00324042979702918,0.00400106745204903,0.00441627694315966,0.00388243863257084,0.00564509269846342,0.00971699602003922,0.00637091418814125,0.010208646662003,0.00735310535061463,0.00986717005822352,0.00477937153808555,0.00813986651934173,0.00840374528382621,0.00810657929058261,0.00737720600328177,0.012607780134832,0.0104657227383391,0.0111374042795505,0.0107050265760255,0.0129843547558608,0.0148775749302711,0.0165714025363076,0.0121952045846011,0.0193500889087401,0.0222674988473926,0.024314528065713,0.0271580128128004,0.0245604963072858,0.0284102890632626,0.0254701926240032,0.0251093207191792,0.0260251580567982,0.0287944251504081,0.0288711642814201,0.0260513384740506,0.0332989756484859,0.0340433412794689,0.0326417785446271,0.0310144423370657,0.0298978595060775,0.0302911469066367,0.023599703553072,0.0301285797204483,0.0304612682813231,0.0245935449984905,0.028200314655709,0.0205686902557814,0.0214135791127705,0.0184823989734911,0.0145959830480242,0.013547005571092,0.00910885824300201,0.00758538468901271,0.00877281487608965,0.00677053403902029,0.0040849041722613,0.00438343334887059,0.00282465058884135,0.00261641567349313,0.00180955913410182,0.00241877207406447,0.00101250682178464,0.000466616039078608,0.00126446839417616,0.000249640573562933,0.0010764340734612,0.000523643776580585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1998,0,1,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000215403809785577,0.000868108624268292,0.000993810891596296,0.000772454241086623,0.00167390794879193,0.00173111856706594,0.00244701186813565,0.00212483581714652,0.00243403816649749,0.00152736168554164,0.00254857877830328,0.00226601012770155,0.00131318994648515,0.000800350857762846,0.00147065307177933,0.00127241129246812,0.00106615520109253,0.00114450879786162,0.00154979782989002,0.00157458977276473,0.00109195516319888,0.00199202940381981,0.00187493971885088,0.00233139483934796,0.00290911471841308,0.00290201163372855,0.00326177489682258,0.00414174315192506,0.00399773686336301,0.00443294778466214,0.0062170133450881,0.00618141129685689,0.00745447122208259,0.00874675077842292,0.00892787198057183,0.0138751137861949,0.0131993193480073,0.0149904598461843,0.0150225688706315,0.0183228307675767,0.0206789950547182,0.027486176677263,0.0269732787473843,0.0243558031287314,0.0286385609135913,0.0252332043933083,0.0265548024630745,0.0241562528393006,0.025589110013315,0.0253850560693483,0.0242435280021662,0.0260411316089641,0.0236455925422146,0.023299472208431,0.0248181597772906,0.0225582770950943,0.0201271910796101,0.0202264935223564,0.0195011490441587,0.020201346380907,0.0166413016898429,0.0238112725653657,0.0218909603415943,0.0186753521885674,0.022368030719113,0.0189630524440328,0.016996875318859,0.0205495418734615,0.0179954035779467,0.0208266218426197,0.0180215014485484,0.0171418593568124,0.0161252678759351,0.0148007171618787,0.0140284969065672,0.0125157354157555,0.0125567376709219,0.0107350699021866,0.00749625969516132,0.00666855703222341,0.00516569004236289,0.00396730602978504,0.00276451543817704,0.00173945992195133,0.0014356336238311,0.000940806334426915,0.00130090613515992,0.000813848075511714,0.0007085667022351,0.000246279808171684,0.00049010400549665,0.000120502986388963,5.81326875429242e-05,5.82949085631628e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1999,0,1,0,0,455,0,0,0,0,0,0,0,0,0,0,2.66649983149947e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000136080511521029,1.05789233399273e-05,0.000171588594047442,0,7.22447224615159e-06,9.34467734989531e-05,0.000193819033083791,0.00040373964536058,0.000101179427643872,0.000235058021192639,0.00133170529253777,0.00122443320835925,0.000616237598176348,0.00102654718737462,0.000560003258043704,0.00116440332537761,0.00283000569851396,0.0013926068144889,0.0026682955652531,0.00203949945967871,0.00263113942363381,0.00243179549261778,0.00437648851035635,0.00497816795871122,0.00277846829300677,0.00461483026492968,0.00537225372029041,0.00460256007114963,0.00444707749366272,0.00271719437125753,0.00675088832693298,0.00517988495335733,0.00633985809766948,0.00642157013524728,0.00475728814326424,0.00677603230062392,0.00668840511625236,0.00773059193241033,0.00865186526910974,0.00743811595547503,0.00932455851890247,0.0105019427725303,0.0104460216589146,0.0108390918385532,0.0133600524204313,0.0148448185743773,0.0146357801355748,0.0178898911452035,0.0193073045021041,0.023839058407523,0.0245332826054982,0.024704301478828,0.0328078274200952,0.0310852181465938,0.033674117049452,0.0295186515406929,0.0343935530099326,0.0353456236841566,0.0393400954591511,0.03314380962832,0.0358338029852213,0.0299170618474717,0.0352172428749897,0.0282714732743279,0.0225573111097811,0.0268319228158881,0.0205870348406266,0.016370137696418,0.0128301967476392,0.0156436988221813,0.0125760901576447,0.0163863768025274,0.0134047882572915,0.0178410249119835,0.0157366382207598,0.0126758696154759,0.0118162293977479,0.0127540852748011,0.0098232790866602,0.0106332429731223,0.00915674294632166,0.00691266057112524,0.00485607955542732,0.00566538549294432,0.00271643018647515,0.00311861222887309,0.000796481736164459,0.00169551132605453,0.00069092408064724,0.000315209073409463,0.000661696853393328,7.97236387782151e-05,0.000101650735988335,3.87287960989779e-05,9.32503308410827e-06,0,0,2.47363978079353e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2000,0,1,0,0,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16929221112123e-05,0,0,0,0.000189277449079838,0.00090132588452929,0.000137381134507582,0.000238217127367416,0.000891317103652329,0.00042887567070517,0.000236642643387595,0,0.000202664357825272,0.000153962776209618,0.0012007886134103,0.000339996025444094,0.000707451602306445,0.0010407907226879,0.00422167217498578,0.001564376472346,0.00712049674192941,0.00532716540644739,0.00362908799532541,0.00644318152177515,0.00327546344912933,0.00331062270740483,0.00641015844800751,0.00889210310521949,0.0114524917830622,0.0155074402266857,0.00525300431465729,0.0100700942126384,0.00957966025148176,0.0109752452376127,0.0127843193286949,0.00835979292919296,0.00908550697270894,0.00993051318827916,0.0137567860931991,0.0121693111607843,0.0135983591530525,0.0138501890557646,0.0109887144743844,0.0134844767027974,0.0132496873527007,0.0164132950647897,0.017375490623763,0.0183084350412132,0.017306152283537,0.0172147250326821,0.0175037490883607,0.0250147894127327,0.0199041370541267,0.0198528102185419,0.018510928478602,0.0219940175423621,0.022772690001806,0.0259578717973863,0.0226597891184008,0.0214910428008541,0.0215366812966208,0.0302639321492231,0.0267601260505411,0.0253523832937229,0.0302312088152325,0.0296539713621609,0.0236407651154735,0.0271994320238762,0.0243870254496662,0.0203260311293933,0.0199988711530312,0.0185188271795843,0.0159804409469565,0.0151709248456926,0.0138674489643964,0.0156944912586181,0.0108451478912532,0.0113792271087478,0.011069510776593,0.0130168394203151,0.0110762811631005,0.00561049347809503,0.00584746556065238,0.00635934636634939,0.00396863443898109,0.002524156142437,0.00190047881095282,0.00226607665406123,0.000846561229095089,0.000429800286185764,9.1097715152747e-05,0.000338514466352186,0.000256238267267883,0,8.19840743336372e-05,6.1213386453979e-05,0,0.000116923611944364,0,3.12200648369635e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2001,0,1,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08606142883575e-06,3.29662654819635e-05,0.000950522977659515,0.000234161834133245,0.000488756002785198,5.86909407917908e-05,0.00122011814724617,0.000462136814340666,0.000718057579476432,0.00082207204159754,0.000835993572095993,0.000112815784595565,0.000228558486578449,0.000150364154845408,0.000100161805344059,0.000246130748599224,4.08622001813972e-05,0.000358020029426625,0.000354617943641821,0.000216569102032197,0.000101156227405534,0.000345877315346858,0.000630376370148466,0.000692400227753067,0.00144084396102416,0.00119318197843743,0.00290568885127693,0.00159258621506052,0.00500174365953544,0.00556830155703133,0.00482136641698454,0.00496772311859387,0.00513887896826763,0.00766969071468065,0.0110287833215091,0.0166082390547016,0.0169905485546899,0.0154375528388918,0.017830243200163,0.0219703096082591,0.0254026463744349,0.0297168681538675,0.0304434186004233,0.0292875958560301,0.041920577675209,0.039710545368602,0.0349284893834578,0.0346004570287873,0.0347200254227191,0.0334168101748433,0.0305868379347734,0.0216713879326123,0.0247143583153442,0.0260822520742385,0.0224157079781888,0.0239507168333076,0.0257602363439843,0.0247176729874924,0.0200172323023317,0.0200193873733546,0.0212316232856458,0.0206560309906359,0.0203510832786937,0.0195795097505458,0.0156826577931998,0.0146769198877488,0.0159696064781251,0.0148934438499309,0.0138991627535726,0.0140995136934968,0.011751490165126,0.0128123581549989,0.0118407732298374,0.0147933130607837,0.00976687936993421,0.00739094347028469,0.00580044438497842,0.0071991275405653,0.00579162123575251,0.00538279150343167,0.00272949081952745,0.0040973541923335,0.00158754340058286,0.00146772799294501,0.000799800886944849,0.000620327255797424,0.000485319532067883,0.000171334845292617,0.000127603566827727,0.000105668821381252,9.5176410014661e-05,8.91979158562274e-05,0.000399781717095812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2002,0,1,0,0,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0826790699828e-05,0,0,0,0,0,0,2.0826790699828e-05,0,2.74256681118888e-05,5.23765015295137e-05,0.000189146944522791,3.68002046620051e-05,0.000179703292343679,0.000278333157212497,0.000213692081125013,0.000382244769729901,0.00120136985137194,0.000449480048142594,0.000510597468471294,0.000433862708591211,0.000646146448666162,0.00123459296105953,0.00121687237570153,0.000994456396629556,0.00127202082614432,0.00218624185632881,0.00121766667835183,0.000880661325990494,0.00236444368332589,0.00254321315943026,0.00266055744580662,0.00208356589472112,0.00331091073145151,0.00268408677031319,0.00420688727368128,0.0025470825286728,0.00374294815158753,0.00234828679719461,0.00227638686208885,0.00255629702876544,0.00227428214251143,0.00254241588234996,0.00383879752657768,0.00324013331297247,0.00679078043318509,0.00522142004465973,0.00726487135547566,0.0110505333528218,0.0142813977070538,0.0151700255061879,0.0194440885043351,0.0184223230433277,0.0247991124430161,0.0294798500724456,0.0297916219375487,0.0327731849636828,0.0315882717082342,0.0372934637370593,0.0352270632197993,0.0387201889543392,0.0376258458726956,0.0364957730390272,0.0367717060889642,0.0388333236826315,0.0345996269714138,0.0343786414674006,0.0349979371040715,0.0311009654058012,0.0285905444971104,0.0322206270343756,0.0233790954407538,0.0187801271608806,0.0193260878511259,0.0169100278968958,0.0164906574213125,0.0175869181280224,0.0151883601896101,0.013045878276889,0.0118833489697047,0.0102588076927002,0.00993909734018739,0.0109560178607229,0.00864648073198789,0.00809767594471608,0.00718843241839856,0.00826896416192001,0.00515261545177721,0.00487321802841025,0.00323072131826796,0.00220874612469195,0.0025054625332026,0.00191934761558176,0.00119031657325123,0.000467266263630427,0.000513772610082063,1.17903890941229e-05,0,0.000181937121981574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
