TONS,GEAR,YEAR,SEASON
2193,TRAWL,1977,1
2404,TRAWL,1978,1
4671,TRAWL,1979,1
2835,TRAWL,1980,1
4429,TRAWL,1981,1
5800,TRAWL,1982,1
6569,TRAWL,1983,1
6863,TRAWL,1984,1
5648,TRAWL,1985,1
6120,TRAWL,1986,1
10435,TRAWL,1987,1
4998,TRAWL,1988,1
4239,TRAWL,1989,1
6932,TRAWL,1990,1
1099,LONGLINE,1977,1
990,LONGLINE,1978,1
736,LONGLINE,1979,1
177,LONGLINE,1980,1
235,LONGLINE,1981,1
476,LONGLINE,1982,1
402,LONGLINE,1983,1
804,LONGLINE,1984,1
829,LONGLINE,1985,1
0,LONGLINE,1986,1
0,LONGLINE,1987,1
167,LONGLINE,1988,1
303,LONGLINE,1989,1
609,LONGLINE,1990,1
